"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ct","1 wk ahead","Bin","percent","4.2","4.3",0.0185
"ct","1 wk ahead","Bin","percent","4.3","4.4",0.0164
"ct","1 wk ahead","Bin","percent","4.4","4.5",0.0135
"ct","1 wk ahead","Bin","percent","4.5","4.6",0.0139
"ct","1 wk ahead","Bin","percent","4.6","4.7",0.0124
"ct","1 wk ahead","Bin","percent","4.7","4.8",0.0106
"ct","1 wk ahead","Bin","percent","4.8","4.9",0.008
"ct","1 wk ahead","Bin","percent","4.9","5.0",0.0078
"ct","1 wk ahead","Bin","percent","5.0","5.1",0.0055
"ct","1 wk ahead","Bin","percent","5.1","5.2",0.0053
"ct","1 wk ahead","Bin","percent","5.2","5.3",0.0044
"ct","1 wk ahead","Bin","percent","5.3","5.4",0.0032
"ct","1 wk ahead","Bin","percent","5.4","5.5",0.0032
"ct","1 wk ahead","Bin","percent","5.5","5.6",0.0031
"ct","1 wk ahead","Bin","percent","5.6","5.7",0.0025
"ct","1 wk ahead","Bin","percent","5.7","5.8",0.0023
"ct","1 wk ahead","Bin","percent","5.8","5.9",0.0022
"ct","1 wk ahead","Bin","percent","5.9","6.0",0.0017
"ct","1 wk ahead","Bin","percent","6.0","6.1",0.0018
"ct","1 wk ahead","Bin","percent","6.1","6.2",0.0011
"ct","1 wk ahead","Bin","percent","6.2","6.3",0.001
"ct","1 wk ahead","Bin","percent","6.3","6.4",8e-04
"ct","1 wk ahead","Bin","percent","6.4","6.5",0.0012
"ct","1 wk ahead","Bin","percent","6.5","6.6",3e-04
"ct","1 wk ahead","Bin","percent","6.6","6.7",3e-04
"ct","1 wk ahead","Bin","percent","6.7","6.8",6e-04
"ct","1 wk ahead","Bin","percent","6.8","6.9",5e-04
"ct","1 wk ahead","Bin","percent","6.9","7.0",3e-04
"ct","1 wk ahead","Bin","percent","7.0","7.1",3e-04
"ct","1 wk ahead","Bin","percent","7.1","7.2",2e-04
"ct","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"ct","1 wk ahead","Bin","percent","7.3","7.4",2e-04
"ct","1 wk ahead","Bin","percent","7.4","7.5",0
"ct","1 wk ahead","Bin","percent","7.5","7.6",0
"ct","1 wk ahead","Bin","percent","7.6","7.7",1e-04
"ct","1 wk ahead","Bin","percent","7.7","7.8",0
"ct","1 wk ahead","Bin","percent","7.8","7.9",0
"ct","1 wk ahead","Bin","percent","7.9","8.0",1e-04
"ct","1 wk ahead","Bin","percent","8.0","8.1",0
"ct","1 wk ahead","Bin","percent","8.1","8.2",0
"ct","1 wk ahead","Bin","percent","8.2","8.3",0
"ct","1 wk ahead","Bin","percent","8.3","8.4",1e-04
"ct","1 wk ahead","Bin","percent","8.4","8.5",0
"ct","1 wk ahead","Bin","percent","8.5","8.6",0
"ct","1 wk ahead","Bin","percent","8.6","8.7",0
"ct","1 wk ahead","Bin","percent","8.7","8.8",0
"ct","1 wk ahead","Bin","percent","8.8","8.9",0
"ct","1 wk ahead","Bin","percent","8.9","9.0",0
"ct","1 wk ahead","Bin","percent","9.0","9.1",0
"ct","1 wk ahead","Bin","percent","9.1","9.2",0
"ct","1 wk ahead","Bin","percent","9.2","9.3",0
"ct","1 wk ahead","Bin","percent","9.3","9.4",0
"ct","1 wk ahead","Bin","percent","9.4","9.5",0
"ct","1 wk ahead","Bin","percent","9.5","9.6",0
"ct","1 wk ahead","Bin","percent","9.6","9.7",0
"ct","1 wk ahead","Bin","percent","9.7","9.8",0
"ct","1 wk ahead","Bin","percent","9.8","9.9",0
"ct","1 wk ahead","Bin","percent","9.9","10.0",0
"ct","1 wk ahead","Bin","percent","10.0","10.1",0
"ct","1 wk ahead","Bin","percent","10.1","10.2",0
"ct","1 wk ahead","Bin","percent","10.2","10.3",0
"ct","1 wk ahead","Bin","percent","10.3","10.4",0
"ct","1 wk ahead","Bin","percent","10.4","10.5",0
"ct","1 wk ahead","Bin","percent","10.5","10.6",0
"ct","1 wk ahead","Bin","percent","10.6","10.7",0
"ct","1 wk ahead","Bin","percent","10.7","10.8",0
"ct","1 wk ahead","Bin","percent","10.8","10.9",0
"ct","1 wk ahead","Bin","percent","10.9","11.0",0
"ct","1 wk ahead","Bin","percent","11.0","11.1",0
"ct","1 wk ahead","Bin","percent","11.1","11.2",0
"ct","1 wk ahead","Bin","percent","11.2","11.3",0
"ct","1 wk ahead","Bin","percent","11.3","11.4",0
"ct","1 wk ahead","Bin","percent","11.4","11.5",0
"ct","1 wk ahead","Bin","percent","11.5","11.6",0
"ct","1 wk ahead","Bin","percent","11.6","11.7",0
"ct","1 wk ahead","Bin","percent","11.7","11.8",0
"ct","1 wk ahead","Bin","percent","11.8","11.9",0
"ct","1 wk ahead","Bin","percent","11.9","12.0",0
"ct","1 wk ahead","Bin","percent","12.0","12.1",0
"ct","1 wk ahead","Bin","percent","12.1","12.2",0
"ct","1 wk ahead","Bin","percent","12.2","12.3",0
"ct","1 wk ahead","Bin","percent","12.3","12.4",0
"ct","1 wk ahead","Bin","percent","12.4","12.5",0
"ct","1 wk ahead","Bin","percent","12.5","12.6",0
"ct","1 wk ahead","Bin","percent","12.6","12.7",0
"ct","1 wk ahead","Bin","percent","12.7","12.8",0
"ct","1 wk ahead","Bin","percent","12.8","12.9",0
"ct","1 wk ahead","Bin","percent","12.9","13.0",0
"ct","1 wk ahead","Bin","percent","13.0","100.0",0
"ct","2 wk ahead","Point","percent",NA,NA,2.9
"ct","2 wk ahead","Bin","percent","0.0","0.1",0
"ct","2 wk ahead","Bin","percent","0.1","0.2",0
"ct","2 wk ahead","Bin","percent","0.2","0.3",0
"ct","2 wk ahead","Bin","percent","0.3","0.4",0
"ct","2 wk ahead","Bin","percent","0.4","0.5",0
"ct","2 wk ahead","Bin","percent","0.5","0.6",3e-04
"ct","2 wk ahead","Bin","percent","0.6","0.7",0.001
"ct","2 wk ahead","Bin","percent","0.7","0.8",0.0022
"ct","2 wk ahead","Bin","percent","0.8","0.9",0.0028
"ct","2 wk ahead","Bin","percent","0.9","1.0",0.0038
"ct","2 wk ahead","Bin","percent","1.0","1.1",0.0042
"ct","2 wk ahead","Bin","percent","1.1","1.2",0.0073
"ct","2 wk ahead","Bin","percent","1.2","1.3",0.0096
"ct","2 wk ahead","Bin","percent","1.3","1.4",0.0112
"ct","2 wk ahead","Bin","percent","1.4","1.5",0.0167
"ct","2 wk ahead","Bin","percent","1.5","1.6",0.0156
"ct","2 wk ahead","Bin","percent","1.6","1.7",0.0199
"ct","2 wk ahead","Bin","percent","1.7","1.8",0.0209
"ct","2 wk ahead","Bin","percent","1.8","1.9",0.0238
"ct","2 wk ahead","Bin","percent","1.9","2.0",0.0292
"ct","2 wk ahead","Bin","percent","2.0","2.1",0.0285
"ct","2 wk ahead","Bin","percent","2.1","2.2",0.0352
"ct","2 wk ahead","Bin","percent","2.2","2.3",0.0335
"ct","2 wk ahead","Bin","percent","2.3","2.4",0.0357
"ct","2 wk ahead","Bin","percent","2.4","2.5",0.0377
"ct","2 wk ahead","Bin","percent","2.5","2.6",0.0369
"ct","2 wk ahead","Bin","percent","2.6","2.7",0.0369
"ct","2 wk ahead","Bin","percent","2.7","2.8",0.038
"ct","2 wk ahead","Bin","percent","2.8","2.9",0.0341
"ct","2 wk ahead","Bin","percent","2.9","3.0",0.0324
"ct","2 wk ahead","Bin","percent","3.0","3.1",0.0383
"ct","2 wk ahead","Bin","percent","3.1","3.2",0.0333
"ct","2 wk ahead","Bin","percent","3.2","3.3",0.0316
"ct","2 wk ahead","Bin","percent","3.3","3.4",0.0298
"ct","2 wk ahead","Bin","percent","3.4","3.5",0.0299
"ct","2 wk ahead","Bin","percent","3.5","3.6",0.0275
"ct","2 wk ahead","Bin","percent","3.6","3.7",0.0268
"ct","2 wk ahead","Bin","percent","3.7","3.8",0.0236
"ct","2 wk ahead","Bin","percent","3.8","3.9",0.0227
"ct","2 wk ahead","Bin","percent","3.9","4.0",0.0205
"ct","2 wk ahead","Bin","percent","4.0","4.1",0.0194
"ct","2 wk ahead","Bin","percent","4.1","4.2",0.0182
"ct","2 wk ahead","Bin","percent","4.2","4.3",0.0137
"ct","2 wk ahead","Bin","percent","4.3","4.4",0.0166
"ct","2 wk ahead","Bin","percent","4.4","4.5",0.0131
"ct","2 wk ahead","Bin","percent","4.5","4.6",0.0114
"ct","2 wk ahead","Bin","percent","4.6","4.7",0.0133
"ct","2 wk ahead","Bin","percent","4.7","4.8",0.0115
"ct","2 wk ahead","Bin","percent","4.8","4.9",0.0085
"ct","2 wk ahead","Bin","percent","4.9","5.0",0.0083
"ct","2 wk ahead","Bin","percent","5.0","5.1",0.0079
"ct","2 wk ahead","Bin","percent","5.1","5.2",0.0066
"ct","2 wk ahead","Bin","percent","5.2","5.3",0.0064
"ct","2 wk ahead","Bin","percent","5.3","5.4",0.0056
"ct","2 wk ahead","Bin","percent","5.4","5.5",0.005
"ct","2 wk ahead","Bin","percent","5.5","5.6",0.0042
"ct","2 wk ahead","Bin","percent","5.6","5.7",0.0028
"ct","2 wk ahead","Bin","percent","5.7","5.8",0.0034
"ct","2 wk ahead","Bin","percent","5.8","5.9",0.0031
"ct","2 wk ahead","Bin","percent","5.9","6.0",0.0025
"ct","2 wk ahead","Bin","percent","6.0","6.1",0.0023
"ct","2 wk ahead","Bin","percent","6.1","6.2",0.0016
"ct","2 wk ahead","Bin","percent","6.2","6.3",0.0016
"ct","2 wk ahead","Bin","percent","6.3","6.4",0.001
"ct","2 wk ahead","Bin","percent","6.4","6.5",0.0014
"ct","2 wk ahead","Bin","percent","6.5","6.6",0.0017
"ct","2 wk ahead","Bin","percent","6.6","6.7",0.0011
"ct","2 wk ahead","Bin","percent","6.7","6.8",6e-04
"ct","2 wk ahead","Bin","percent","6.8","6.9",6e-04
"ct","2 wk ahead","Bin","percent","6.9","7.0",7e-04
"ct","2 wk ahead","Bin","percent","7.0","7.1",5e-04
"ct","2 wk ahead","Bin","percent","7.1","7.2",3e-04
"ct","2 wk ahead","Bin","percent","7.2","7.3",4e-04
"ct","2 wk ahead","Bin","percent","7.3","7.4",7e-04
"ct","2 wk ahead","Bin","percent","7.4","7.5",3e-04
"ct","2 wk ahead","Bin","percent","7.5","7.6",8e-04
"ct","2 wk ahead","Bin","percent","7.6","7.7",0
"ct","2 wk ahead","Bin","percent","7.7","7.8",4e-04
"ct","2 wk ahead","Bin","percent","7.8","7.9",0
"ct","2 wk ahead","Bin","percent","7.9","8.0",1e-04
"ct","2 wk ahead","Bin","percent","8.0","8.1",0
"ct","2 wk ahead","Bin","percent","8.1","8.2",0
"ct","2 wk ahead","Bin","percent","8.2","8.3",3e-04
"ct","2 wk ahead","Bin","percent","8.3","8.4",1e-04
"ct","2 wk ahead","Bin","percent","8.4","8.5",2e-04
"ct","2 wk ahead","Bin","percent","8.5","8.6",1e-04
"ct","2 wk ahead","Bin","percent","8.6","8.7",0
"ct","2 wk ahead","Bin","percent","8.7","8.8",0
"ct","2 wk ahead","Bin","percent","8.8","8.9",1e-04
"ct","2 wk ahead","Bin","percent","8.9","9.0",0
"ct","2 wk ahead","Bin","percent","9.0","9.1",0
"ct","2 wk ahead","Bin","percent","9.1","9.2",1e-04
"ct","2 wk ahead","Bin","percent","9.2","9.3",0
"ct","2 wk ahead","Bin","percent","9.3","9.4",0
"ct","2 wk ahead","Bin","percent","9.4","9.5",0
"ct","2 wk ahead","Bin","percent","9.5","9.6",1e-04
"ct","2 wk ahead","Bin","percent","9.6","9.7",0
"ct","2 wk ahead","Bin","percent","9.7","9.8",0
"ct","2 wk ahead","Bin","percent","9.8","9.9",0
"ct","2 wk ahead","Bin","percent","9.9","10.0",0
"ct","2 wk ahead","Bin","percent","10.0","10.1",0
"ct","2 wk ahead","Bin","percent","10.1","10.2",0
"ct","2 wk ahead","Bin","percent","10.2","10.3",0
"ct","2 wk ahead","Bin","percent","10.3","10.4",0
"ct","2 wk ahead","Bin","percent","10.4","10.5",0
"ct","2 wk ahead","Bin","percent","10.5","10.6",0
"ct","2 wk ahead","Bin","percent","10.6","10.7",0
"ct","2 wk ahead","Bin","percent","10.7","10.8",0
"ct","2 wk ahead","Bin","percent","10.8","10.9",0
"ct","2 wk ahead","Bin","percent","10.9","11.0",0
"ct","2 wk ahead","Bin","percent","11.0","11.1",0
"ct","2 wk ahead","Bin","percent","11.1","11.2",0
"ct","2 wk ahead","Bin","percent","11.2","11.3",0
"ct","2 wk ahead","Bin","percent","11.3","11.4",0
"ct","2 wk ahead","Bin","percent","11.4","11.5",0
"ct","2 wk ahead","Bin","percent","11.5","11.6",0
"ct","2 wk ahead","Bin","percent","11.6","11.7",0
"ct","2 wk ahead","Bin","percent","11.7","11.8",0
"ct","2 wk ahead","Bin","percent","11.8","11.9",0
"ct","2 wk ahead","Bin","percent","11.9","12.0",0
"ct","2 wk ahead","Bin","percent","12.0","12.1",0
"ct","2 wk ahead","Bin","percent","12.1","12.2",0
"ct","2 wk ahead","Bin","percent","12.2","12.3",0
"ct","2 wk ahead","Bin","percent","12.3","12.4",0
"ct","2 wk ahead","Bin","percent","12.4","12.5",0
"ct","2 wk ahead","Bin","percent","12.5","12.6",0
"ct","2 wk ahead","Bin","percent","12.6","12.7",0
"ct","2 wk ahead","Bin","percent","12.7","12.8",0
"ct","2 wk ahead","Bin","percent","12.8","12.9",0
"ct","2 wk ahead","Bin","percent","12.9","13.0",0
"ct","2 wk ahead","Bin","percent","13.0","100.0",0
"ct","3 wk ahead","Point","percent",NA,NA,2.8
"ct","3 wk ahead","Bin","percent","0.0","0.1",1e-04
"ct","3 wk ahead","Bin","percent","0.1","0.2",1e-04
"ct","3 wk ahead","Bin","percent","0.2","0.3",0
"ct","3 wk ahead","Bin","percent","0.3","0.4",4e-04
"ct","3 wk ahead","Bin","percent","0.4","0.5",0.001
"ct","3 wk ahead","Bin","percent","0.5","0.6",0.0014
"ct","3 wk ahead","Bin","percent","0.6","0.7",0.0029
"ct","3 wk ahead","Bin","percent","0.7","0.8",0.0042
"ct","3 wk ahead","Bin","percent","0.8","0.9",0.0049
"ct","3 wk ahead","Bin","percent","0.9","1.0",0.0082
"ct","3 wk ahead","Bin","percent","1.0","1.1",0.0095
"ct","3 wk ahead","Bin","percent","1.1","1.2",0.013
"ct","3 wk ahead","Bin","percent","1.2","1.3",0.0142
"ct","3 wk ahead","Bin","percent","1.3","1.4",0.0175
"ct","3 wk ahead","Bin","percent","1.4","1.5",0.0179
"ct","3 wk ahead","Bin","percent","1.5","1.6",0.0208
"ct","3 wk ahead","Bin","percent","1.6","1.7",0.0233
"ct","3 wk ahead","Bin","percent","1.7","1.8",0.026
"ct","3 wk ahead","Bin","percent","1.8","1.9",0.0279
"ct","3 wk ahead","Bin","percent","1.9","2.0",0.0276
"ct","3 wk ahead","Bin","percent","2.0","2.1",0.0307
"ct","3 wk ahead","Bin","percent","2.1","2.2",0.0333
"ct","3 wk ahead","Bin","percent","2.2","2.3",0.0352
"ct","3 wk ahead","Bin","percent","2.3","2.4",0.0317
"ct","3 wk ahead","Bin","percent","2.4","2.5",0.0338
"ct","3 wk ahead","Bin","percent","2.5","2.6",0.0326
"ct","3 wk ahead","Bin","percent","2.6","2.7",0.0291
"ct","3 wk ahead","Bin","percent","2.7","2.8",0.0327
"ct","3 wk ahead","Bin","percent","2.8","2.9",0.0327
"ct","3 wk ahead","Bin","percent","2.9","3.0",0.0321
"ct","3 wk ahead","Bin","percent","3.0","3.1",0.0288
"ct","3 wk ahead","Bin","percent","3.1","3.2",0.0312
"ct","3 wk ahead","Bin","percent","3.2","3.3",0.0308
"ct","3 wk ahead","Bin","percent","3.3","3.4",0.0281
"ct","3 wk ahead","Bin","percent","3.4","3.5",0.0234
"ct","3 wk ahead","Bin","percent","3.5","3.6",0.0218
"ct","3 wk ahead","Bin","percent","3.6","3.7",0.0243
"ct","3 wk ahead","Bin","percent","3.7","3.8",0.0238
"ct","3 wk ahead","Bin","percent","3.8","3.9",0.02
"ct","3 wk ahead","Bin","percent","3.9","4.0",0.019
"ct","3 wk ahead","Bin","percent","4.0","4.1",0.019
"ct","3 wk ahead","Bin","percent","4.1","4.2",0.0152
"ct","3 wk ahead","Bin","percent","4.2","4.3",0.015
"ct","3 wk ahead","Bin","percent","4.3","4.4",0.0134
"ct","3 wk ahead","Bin","percent","4.4","4.5",0.0125
"ct","3 wk ahead","Bin","percent","4.5","4.6",0.0126
"ct","3 wk ahead","Bin","percent","4.6","4.7",0.0093
"ct","3 wk ahead","Bin","percent","4.7","4.8",0.0083
"ct","3 wk ahead","Bin","percent","4.8","4.9",0.0083
"ct","3 wk ahead","Bin","percent","4.9","5.0",0.0089
"ct","3 wk ahead","Bin","percent","5.0","5.1",0.0065
"ct","3 wk ahead","Bin","percent","5.1","5.2",0.0088
"ct","3 wk ahead","Bin","percent","5.2","5.3",0.0065
"ct","3 wk ahead","Bin","percent","5.3","5.4",0.007
"ct","3 wk ahead","Bin","percent","5.4","5.5",0.0053
"ct","3 wk ahead","Bin","percent","5.5","5.6",0.0048
"ct","3 wk ahead","Bin","percent","5.6","5.7",0.0036
"ct","3 wk ahead","Bin","percent","5.7","5.8",0.003
"ct","3 wk ahead","Bin","percent","5.8","5.9",0.004
"ct","3 wk ahead","Bin","percent","5.9","6.0",0.0042
"ct","3 wk ahead","Bin","percent","6.0","6.1",0.0023
"ct","3 wk ahead","Bin","percent","6.1","6.2",0.0017
"ct","3 wk ahead","Bin","percent","6.2","6.3",0.002
"ct","3 wk ahead","Bin","percent","6.3","6.4",0.0016
"ct","3 wk ahead","Bin","percent","6.4","6.5",0.003
"ct","3 wk ahead","Bin","percent","6.5","6.6",0.001
"ct","3 wk ahead","Bin","percent","6.6","6.7",0.0018
"ct","3 wk ahead","Bin","percent","6.7","6.8",0.0019
"ct","3 wk ahead","Bin","percent","6.8","6.9",0.001
"ct","3 wk ahead","Bin","percent","6.9","7.0",0.0017
"ct","3 wk ahead","Bin","percent","7.0","7.1",8e-04
"ct","3 wk ahead","Bin","percent","7.1","7.2",0.0012
"ct","3 wk ahead","Bin","percent","7.2","7.3",8e-04
"ct","3 wk ahead","Bin","percent","7.3","7.4",7e-04
"ct","3 wk ahead","Bin","percent","7.4","7.5",0.0011
"ct","3 wk ahead","Bin","percent","7.5","7.6",2e-04
"ct","3 wk ahead","Bin","percent","7.6","7.7",1e-04
"ct","3 wk ahead","Bin","percent","7.7","7.8",8e-04
"ct","3 wk ahead","Bin","percent","7.8","7.9",4e-04
"ct","3 wk ahead","Bin","percent","7.9","8.0",4e-04
"ct","3 wk ahead","Bin","percent","8.0","8.1",2e-04
"ct","3 wk ahead","Bin","percent","8.1","8.2",3e-04
"ct","3 wk ahead","Bin","percent","8.2","8.3",1e-04
"ct","3 wk ahead","Bin","percent","8.3","8.4",3e-04
"ct","3 wk ahead","Bin","percent","8.4","8.5",4e-04
"ct","3 wk ahead","Bin","percent","8.5","8.6",1e-04
"ct","3 wk ahead","Bin","percent","8.6","8.7",0
"ct","3 wk ahead","Bin","percent","8.7","8.8",2e-04
"ct","3 wk ahead","Bin","percent","8.8","8.9",3e-04
"ct","3 wk ahead","Bin","percent","8.9","9.0",0
"ct","3 wk ahead","Bin","percent","9.0","9.1",1e-04
"ct","3 wk ahead","Bin","percent","9.1","9.2",2e-04
"ct","3 wk ahead","Bin","percent","9.2","9.3",1e-04
"ct","3 wk ahead","Bin","percent","9.3","9.4",1e-04
"ct","3 wk ahead","Bin","percent","9.4","9.5",2e-04
"ct","3 wk ahead","Bin","percent","9.5","9.6",2e-04
"ct","3 wk ahead","Bin","percent","9.6","9.7",0
"ct","3 wk ahead","Bin","percent","9.7","9.8",1e-04
"ct","3 wk ahead","Bin","percent","9.8","9.9",1e-04
"ct","3 wk ahead","Bin","percent","9.9","10.0",0
"ct","3 wk ahead","Bin","percent","10.0","10.1",1e-04
"ct","3 wk ahead","Bin","percent","10.1","10.2",0
"ct","3 wk ahead","Bin","percent","10.2","10.3",0
"ct","3 wk ahead","Bin","percent","10.3","10.4",0
"ct","3 wk ahead","Bin","percent","10.4","10.5",0
"ct","3 wk ahead","Bin","percent","10.5","10.6",0
"ct","3 wk ahead","Bin","percent","10.6","10.7",0
"ct","3 wk ahead","Bin","percent","10.7","10.8",2e-04
"ct","3 wk ahead","Bin","percent","10.8","10.9",0
"ct","3 wk ahead","Bin","percent","10.9","11.0",0
"ct","3 wk ahead","Bin","percent","11.0","11.1",0
"ct","3 wk ahead","Bin","percent","11.1","11.2",0
"ct","3 wk ahead","Bin","percent","11.2","11.3",0
"ct","3 wk ahead","Bin","percent","11.3","11.4",0
"ct","3 wk ahead","Bin","percent","11.4","11.5",0
"ct","3 wk ahead","Bin","percent","11.5","11.6",0
"ct","3 wk ahead","Bin","percent","11.6","11.7",0
"ct","3 wk ahead","Bin","percent","11.7","11.8",0
"ct","3 wk ahead","Bin","percent","11.8","11.9",0
"ct","3 wk ahead","Bin","percent","11.9","12.0",0
"ct","3 wk ahead","Bin","percent","12.0","12.1",0
"ct","3 wk ahead","Bin","percent","12.1","12.2",0
"ct","3 wk ahead","Bin","percent","12.2","12.3",0
"ct","3 wk ahead","Bin","percent","12.3","12.4",0
"ct","3 wk ahead","Bin","percent","12.4","12.5",0
"ct","3 wk ahead","Bin","percent","12.5","12.6",0
"ct","3 wk ahead","Bin","percent","12.6","12.7",0
"ct","3 wk ahead","Bin","percent","12.7","12.8",0
"ct","3 wk ahead","Bin","percent","12.8","12.9",0
"ct","3 wk ahead","Bin","percent","12.9","13.0",0
"ct","3 wk ahead","Bin","percent","13.0","100.0",0
