"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"la","1 wk ahead","Point","percent",NA,NA,3.3
"la","1 wk ahead","Bin","percent","0.0","0.1",0
"la","1 wk ahead","Bin","percent","0.1","0.2",0
"la","1 wk ahead","Bin","percent","0.2","0.3",0
"la","1 wk ahead","Bin","percent","0.3","0.4",0
"la","1 wk ahead","Bin","percent","0.4","0.5",0
"la","1 wk ahead","Bin","percent","0.5","0.6",0
"la","1 wk ahead","Bin","percent","0.6","0.7",0
"la","1 wk ahead","Bin","percent","0.7","0.8",0
"la","1 wk ahead","Bin","percent","0.8","0.9",0
"la","1 wk ahead","Bin","percent","0.9","1.0",0
"la","1 wk ahead","Bin","percent","1.0","1.1",0
"la","1 wk ahead","Bin","percent","1.1","1.2",0
"la","1 wk ahead","Bin","percent","1.2","1.3",0
"la","1 wk ahead","Bin","percent","1.3","1.4",0
"la","1 wk ahead","Bin","percent","1.4","1.5",0
"la","1 wk ahead","Bin","percent","1.5","1.6",0
"la","1 wk ahead","Bin","percent","1.6","1.7",0
"la","1 wk ahead","Bin","percent","1.7","1.8",0
"la","1 wk ahead","Bin","percent","1.8","1.9",0
"la","1 wk ahead","Bin","percent","1.9","2.0",0
"la","1 wk ahead","Bin","percent","2.0","2.1",1e-04
"la","1 wk ahead","Bin","percent","2.1","2.2",0
"la","1 wk ahead","Bin","percent","2.2","2.3",6e-04
"la","1 wk ahead","Bin","percent","2.3","2.4",0.0022
"la","1 wk ahead","Bin","percent","2.4","2.5",0.0051
"la","1 wk ahead","Bin","percent","2.5","2.6",0.0122
"la","1 wk ahead","Bin","percent","2.6","2.7",0.0257
"la","1 wk ahead","Bin","percent","2.7","2.8",0.041
"la","1 wk ahead","Bin","percent","2.8","2.9",0.0569
"la","1 wk ahead","Bin","percent","2.9","3.0",0.0772
"la","1 wk ahead","Bin","percent","3.0","3.1",0.0843
"la","1 wk ahead","Bin","percent","3.1","3.2",0.0955
"la","1 wk ahead","Bin","percent","3.2","3.3",0.0894
"la","1 wk ahead","Bin","percent","3.3","3.4",0.0873
"la","1 wk ahead","Bin","percent","3.4","3.5",0.0816
"la","1 wk ahead","Bin","percent","3.5","3.6",0.0674
"la","1 wk ahead","Bin","percent","3.6","3.7",0.0581
"la","1 wk ahead","Bin","percent","3.7","3.8",0.0505
"la","1 wk ahead","Bin","percent","3.8","3.9",0.0379
"la","1 wk ahead","Bin","percent","3.9","4.0",0.0313
"la","1 wk ahead","Bin","percent","4.0","4.1",0.0262
"la","1 wk ahead","Bin","percent","4.1","4.2",0.0186
"la","1 wk ahead","Bin","percent","4.2","4.3",0.0134
"la","1 wk ahead","Bin","percent","4.3","4.4",0.0096
"la","1 wk ahead","Bin","percent","4.4","4.5",0.0061
"la","1 wk ahead","Bin","percent","4.5","4.6",0.0057
"la","1 wk ahead","Bin","percent","4.6","4.7",0.004
"la","1 wk ahead","Bin","percent","4.7","4.8",0.0037
"la","1 wk ahead","Bin","percent","4.8","4.9",0.0021
"la","1 wk ahead","Bin","percent","4.9","5.0",0.0018
"la","1 wk ahead","Bin","percent","5.0","5.1",0.0016
"la","1 wk ahead","Bin","percent","5.1","5.2",4e-04
"la","1 wk ahead","Bin","percent","5.2","5.3",0.001
"la","1 wk ahead","Bin","percent","5.3","5.4",4e-04
"la","1 wk ahead","Bin","percent","5.4","5.5",5e-04
"la","1 wk ahead","Bin","percent","5.5","5.6",2e-04
"la","1 wk ahead","Bin","percent","5.6","5.7",1e-04
"la","1 wk ahead","Bin","percent","5.7","5.8",0
"la","1 wk ahead","Bin","percent","5.8","5.9",1e-04
"la","1 wk ahead","Bin","percent","5.9","6.0",0
"la","1 wk ahead","Bin","percent","6.0","6.1",1e-04
"la","1 wk ahead","Bin","percent","6.1","6.2",0
"la","1 wk ahead","Bin","percent","6.2","6.3",1e-04
"la","1 wk ahead","Bin","percent","6.3","6.4",0
"la","1 wk ahead","Bin","percent","6.4","6.5",0
"la","1 wk ahead","Bin","percent","6.5","6.6",0
"la","1 wk ahead","Bin","percent","6.6","6.7",0
"la","1 wk ahead","Bin","percent","6.7","6.8",0
"la","1 wk ahead","Bin","percent","6.8","6.9",0
"la","1 wk ahead","Bin","percent","6.9","7.0",0
"la","1 wk ahead","Bin","percent","7.0","7.1",0
"la","1 wk ahead","Bin","percent","7.1","7.2",0
"la","1 wk ahead","Bin","percent","7.2","7.3",0
"la","1 wk ahead","Bin","percent","7.3","7.4",0
"la","1 wk ahead","Bin","percent","7.4","7.5",0
"la","1 wk ahead","Bin","percent","7.5","7.6",0
"la","1 wk ahead","Bin","percent","7.6","7.7",0
"la","1 wk ahead","Bin","percent","7.7","7.8",0
"la","1 wk ahead","Bin","percent","7.8","7.9",0
"la","1 wk ahead","Bin","percent","7.9","8.0",0
