"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"nv","1 wk ahead","Point","percent",NA,NA,1.3
"nv","1 wk ahead","Bin","percent","0.0","0.1",0
"nv","1 wk ahead","Bin","percent","0.1","0.2",0
"nv","1 wk ahead","Bin","percent","0.2","0.3",0
"nv","1 wk ahead","Bin","percent","0.3","0.4",0
"nv","1 wk ahead","Bin","percent","0.4","0.5",1e-04
"nv","1 wk ahead","Bin","percent","0.5","0.6",5e-04
"nv","1 wk ahead","Bin","percent","0.6","0.7",0.004
"nv","1 wk ahead","Bin","percent","0.7","0.8",0.0171
"nv","1 wk ahead","Bin","percent","0.8","0.9",0.0392
"nv","1 wk ahead","Bin","percent","0.9","1.0",0.0665
"nv","1 wk ahead","Bin","percent","1.0","1.1",0.0898
"nv","1 wk ahead","Bin","percent","1.1","1.2",0.1147
"nv","1 wk ahead","Bin","percent","1.2","1.3",0.12
"nv","1 wk ahead","Bin","percent","1.3","1.4",0.1106
"nv","1 wk ahead","Bin","percent","1.4","1.5",0.0981
"nv","1 wk ahead","Bin","percent","1.5","1.6",0.0823
"nv","1 wk ahead","Bin","percent","1.6","1.7",0.0653
"nv","1 wk ahead","Bin","percent","1.7","1.8",0.0513
"nv","1 wk ahead","Bin","percent","1.8","1.9",0.0394
"nv","1 wk ahead","Bin","percent","1.9","2.0",0.0261
"nv","1 wk ahead","Bin","percent","2.0","2.1",0.0222
"nv","1 wk ahead","Bin","percent","2.1","2.2",0.0154
"nv","1 wk ahead","Bin","percent","2.2","2.3",0.0099
"nv","1 wk ahead","Bin","percent","2.3","2.4",0.0072
"nv","1 wk ahead","Bin","percent","2.4","2.5",0.0051
"nv","1 wk ahead","Bin","percent","2.5","2.6",0.0051
"nv","1 wk ahead","Bin","percent","2.6","2.7",0.003
"nv","1 wk ahead","Bin","percent","2.7","2.8",0.0023
"nv","1 wk ahead","Bin","percent","2.8","2.9",0.0017
"nv","1 wk ahead","Bin","percent","2.9","3.0",5e-04
"nv","1 wk ahead","Bin","percent","3.0","3.1",5e-04
"nv","1 wk ahead","Bin","percent","3.1","3.2",6e-04
"nv","1 wk ahead","Bin","percent","3.2","3.3",7e-04
"nv","1 wk ahead","Bin","percent","3.3","3.4",2e-04
"nv","1 wk ahead","Bin","percent","3.4","3.5",2e-04
"nv","1 wk ahead","Bin","percent","3.5","3.6",0
"nv","1 wk ahead","Bin","percent","3.6","3.7",1e-04
"nv","1 wk ahead","Bin","percent","3.7","3.8",0
"nv","1 wk ahead","Bin","percent","3.8","3.9",0
"nv","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"nv","1 wk ahead","Bin","percent","4.0","4.1",0
"nv","1 wk ahead","Bin","percent","4.1","4.2",0
"nv","1 wk ahead","Bin","percent","4.2","4.3",1e-04
"nv","1 wk ahead","Bin","percent","4.3","4.4",0
"nv","1 wk ahead","Bin","percent","4.4","4.5",0
"nv","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"nv","1 wk ahead","Bin","percent","4.6","4.7",0
"nv","1 wk ahead","Bin","percent","4.7","4.8",0
"nv","1 wk ahead","Bin","percent","4.8","4.9",0
"nv","1 wk ahead","Bin","percent","4.9","5.0",0
"nv","1 wk ahead","Bin","percent","5.0","5.1",0
"nv","1 wk ahead","Bin","percent","5.1","5.2",0
"nv","1 wk ahead","Bin","percent","5.2","5.3",0
"nv","1 wk ahead","Bin","percent","5.3","5.4",0
"nv","1 wk ahead","Bin","percent","5.4","5.5",0
"nv","1 wk ahead","Bin","percent","5.5","5.6",0
"nv","1 wk ahead","Bin","percent","5.6","5.7",0
"nv","1 wk ahead","Bin","percent","5.7","5.8",0
"nv","1 wk ahead","Bin","percent","5.8","5.9",0
"nv","1 wk ahead","Bin","percent","5.9","6.0",0
"nv","1 wk ahead","Bin","percent","6.0","6.1",0
"nv","1 wk ahead","Bin","percent","6.1","6.2",0
"nv","1 wk ahead","Bin","percent","6.2","6.3",0
"nv","1 wk ahead","Bin","percent","6.3","6.4",0
"nv","1 wk ahead","Bin","percent","6.4","6.5",0
"nv","1 wk ahead","Bin","percent","6.5","6.6",0
"nv","1 wk ahead","Bin","percent","6.6","6.7",0
"nv","1 wk ahead","Bin","percent","6.7","6.8",0
