"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ky","2 wk ahead","Bin","percent","7.2","7.3",0
"ky","2 wk ahead","Bin","percent","7.3","7.4",0
"ky","2 wk ahead","Bin","percent","7.4","7.5",0
"ky","2 wk ahead","Bin","percent","7.5","7.6",0
"ky","2 wk ahead","Bin","percent","7.6","7.7",0
"ky","2 wk ahead","Bin","percent","7.7","7.8",0
"ky","2 wk ahead","Bin","percent","7.8","7.9",1e-04
"ky","2 wk ahead","Bin","percent","7.9","8.0",0
"ky","2 wk ahead","Bin","percent","8.0","8.1",0
"ky","2 wk ahead","Bin","percent","8.1","8.2",0
"ky","2 wk ahead","Bin","percent","8.2","8.3",0
"ky","2 wk ahead","Bin","percent","8.3","8.4",0
"ky","2 wk ahead","Bin","percent","8.4","8.5",1e-04
"ky","2 wk ahead","Bin","percent","8.5","8.6",0
"ky","2 wk ahead","Bin","percent","8.6","8.7",0
"ky","2 wk ahead","Bin","percent","8.7","8.8",0
"ky","2 wk ahead","Bin","percent","8.8","8.9",0
"ky","2 wk ahead","Bin","percent","8.9","9.0",0
"ky","2 wk ahead","Bin","percent","9.0","9.1",0
"ky","2 wk ahead","Bin","percent","9.1","9.2",1e-04
"ky","2 wk ahead","Bin","percent","9.2","9.3",0
"ky","2 wk ahead","Bin","percent","9.3","9.4",0
"ky","2 wk ahead","Bin","percent","9.4","9.5",0
"ky","2 wk ahead","Bin","percent","9.5","9.6",0
"ky","2 wk ahead","Bin","percent","9.6","9.7",0
"ky","2 wk ahead","Bin","percent","9.7","9.8",0
"ky","2 wk ahead","Bin","percent","9.8","9.9",0
"ky","2 wk ahead","Bin","percent","9.9","10.0",0
"ky","2 wk ahead","Bin","percent","10.0","10.1",0
"ky","2 wk ahead","Bin","percent","10.1","10.2",0
"ky","2 wk ahead","Bin","percent","10.2","10.3",0
"ky","2 wk ahead","Bin","percent","10.3","10.4",0
"ky","2 wk ahead","Bin","percent","10.4","10.5",0
"ky","2 wk ahead","Bin","percent","10.5","10.6",0
"ky","2 wk ahead","Bin","percent","10.6","10.7",0
"ky","2 wk ahead","Bin","percent","10.7","10.8",0
"ky","2 wk ahead","Bin","percent","10.8","10.9",0
"ky","2 wk ahead","Bin","percent","10.9","11.0",0
"ky","2 wk ahead","Bin","percent","11.0","11.1",0
"ky","2 wk ahead","Bin","percent","11.1","11.2",0
"ky","2 wk ahead","Bin","percent","11.2","11.3",0
"ky","2 wk ahead","Bin","percent","11.3","11.4",0
"ky","2 wk ahead","Bin","percent","11.4","11.5",0
"ky","2 wk ahead","Bin","percent","11.5","11.6",0
"ky","2 wk ahead","Bin","percent","11.6","11.7",0
"ky","2 wk ahead","Bin","percent","11.7","11.8",0
"ky","2 wk ahead","Bin","percent","11.8","11.9",0
"ky","2 wk ahead","Bin","percent","11.9","12.0",0
"ky","2 wk ahead","Bin","percent","12.0","12.1",0
"ky","2 wk ahead","Bin","percent","12.1","12.2",0
"ky","2 wk ahead","Bin","percent","12.2","12.3",0
"ky","2 wk ahead","Bin","percent","12.3","12.4",0
"ky","2 wk ahead","Bin","percent","12.4","12.5",0
"ky","2 wk ahead","Bin","percent","12.5","12.6",0
"ky","2 wk ahead","Bin","percent","12.6","12.7",0
"ky","2 wk ahead","Bin","percent","12.7","12.8",0
"ky","2 wk ahead","Bin","percent","12.8","12.9",0
"ky","2 wk ahead","Bin","percent","12.9","13.0",0
"ky","2 wk ahead","Bin","percent","13.0","100.0",0
"ky","3 wk ahead","Point","percent",NA,NA,1.2
"ky","3 wk ahead","Bin","percent","0.0","0.1",1e-04
"ky","3 wk ahead","Bin","percent","0.1","0.2",0.0021
"ky","3 wk ahead","Bin","percent","0.2","0.3",0.0075
"ky","3 wk ahead","Bin","percent","0.3","0.4",0.0178
"ky","3 wk ahead","Bin","percent","0.4","0.5",0.0337
"ky","3 wk ahead","Bin","percent","0.5","0.6",0.0417
"ky","3 wk ahead","Bin","percent","0.6","0.7",0.0541
"ky","3 wk ahead","Bin","percent","0.7","0.8",0.0677
"ky","3 wk ahead","Bin","percent","0.8","0.9",0.0692
"ky","3 wk ahead","Bin","percent","0.9","1.0",0.0671
"ky","3 wk ahead","Bin","percent","1.0","1.1",0.0664
"ky","3 wk ahead","Bin","percent","1.1","1.2",0.0666
"ky","3 wk ahead","Bin","percent","1.2","1.3",0.0585
"ky","3 wk ahead","Bin","percent","1.3","1.4",0.053
"ky","3 wk ahead","Bin","percent","1.4","1.5",0.0467
"ky","3 wk ahead","Bin","percent","1.5","1.6",0.0423
"ky","3 wk ahead","Bin","percent","1.6","1.7",0.0346
"ky","3 wk ahead","Bin","percent","1.7","1.8",0.0323
"ky","3 wk ahead","Bin","percent","1.8","1.9",0.0299
"ky","3 wk ahead","Bin","percent","1.9","2.0",0.026
"ky","3 wk ahead","Bin","percent","2.0","2.1",0.0213
"ky","3 wk ahead","Bin","percent","2.1","2.2",0.0181
"ky","3 wk ahead","Bin","percent","2.2","2.3",0.0176
"ky","3 wk ahead","Bin","percent","2.3","2.4",0.0143
"ky","3 wk ahead","Bin","percent","2.4","2.5",0.0113
"ky","3 wk ahead","Bin","percent","2.5","2.6",0.011
"ky","3 wk ahead","Bin","percent","2.6","2.7",0.0092
"ky","3 wk ahead","Bin","percent","2.7","2.8",0.0081
"ky","3 wk ahead","Bin","percent","2.8","2.9",0.0083
"ky","3 wk ahead","Bin","percent","2.9","3.0",0.0058
"ky","3 wk ahead","Bin","percent","3.0","3.1",0.0066
"ky","3 wk ahead","Bin","percent","3.1","3.2",0.0046
"ky","3 wk ahead","Bin","percent","3.2","3.3",0.0048
"ky","3 wk ahead","Bin","percent","3.3","3.4",0.0043
"ky","3 wk ahead","Bin","percent","3.4","3.5",0.004
"ky","3 wk ahead","Bin","percent","3.5","3.6",0.0029
"ky","3 wk ahead","Bin","percent","3.6","3.7",0.002
"ky","3 wk ahead","Bin","percent","3.7","3.8",0.0027
"ky","3 wk ahead","Bin","percent","3.8","3.9",0.0021
"ky","3 wk ahead","Bin","percent","3.9","4.0",0.0018
"ky","3 wk ahead","Bin","percent","4.0","4.1",0.0018
"ky","3 wk ahead","Bin","percent","4.1","4.2",0.0011
"ky","3 wk ahead","Bin","percent","4.2","4.3",7e-04
"ky","3 wk ahead","Bin","percent","4.3","4.4",0.0016
"ky","3 wk ahead","Bin","percent","4.4","4.5",7e-04
"ky","3 wk ahead","Bin","percent","4.5","4.6",0.0011
"ky","3 wk ahead","Bin","percent","4.6","4.7",9e-04
"ky","3 wk ahead","Bin","percent","4.7","4.8",0.0016
"ky","3 wk ahead","Bin","percent","4.8","4.9",6e-04
"ky","3 wk ahead","Bin","percent","4.9","5.0",0.0011
"ky","3 wk ahead","Bin","percent","5.0","5.1",0.0013
"ky","3 wk ahead","Bin","percent","5.1","5.2",0.0014
"ky","3 wk ahead","Bin","percent","5.2","5.3",8e-04
"ky","3 wk ahead","Bin","percent","5.3","5.4",9e-04
"ky","3 wk ahead","Bin","percent","5.4","5.5",6e-04
"ky","3 wk ahead","Bin","percent","5.5","5.6",3e-04
"ky","3 wk ahead","Bin","percent","5.6","5.7",3e-04
"ky","3 wk ahead","Bin","percent","5.7","5.8",5e-04
"ky","3 wk ahead","Bin","percent","5.8","5.9",5e-04
"ky","3 wk ahead","Bin","percent","5.9","6.0",1e-04
"ky","3 wk ahead","Bin","percent","6.0","6.1",3e-04
"ky","3 wk ahead","Bin","percent","6.1","6.2",2e-04
"ky","3 wk ahead","Bin","percent","6.2","6.3",4e-04
"ky","3 wk ahead","Bin","percent","6.3","6.4",2e-04
"ky","3 wk ahead","Bin","percent","6.4","6.5",1e-04
"ky","3 wk ahead","Bin","percent","6.5","6.6",2e-04
"ky","3 wk ahead","Bin","percent","6.6","6.7",4e-04
"ky","3 wk ahead","Bin","percent","6.7","6.8",1e-04
"ky","3 wk ahead","Bin","percent","6.8","6.9",0
"ky","3 wk ahead","Bin","percent","6.9","7.0",4e-04
"ky","3 wk ahead","Bin","percent","7.0","7.1",1e-04
"ky","3 wk ahead","Bin","percent","7.1","7.2",1e-04
"ky","3 wk ahead","Bin","percent","7.2","7.3",0
"ky","3 wk ahead","Bin","percent","7.3","7.4",1e-04
"ky","3 wk ahead","Bin","percent","7.4","7.5",1e-04
"ky","3 wk ahead","Bin","percent","7.5","7.6",0
"ky","3 wk ahead","Bin","percent","7.6","7.7",0
"ky","3 wk ahead","Bin","percent","7.7","7.8",0
"ky","3 wk ahead","Bin","percent","7.8","7.9",1e-04
"ky","3 wk ahead","Bin","percent","7.9","8.0",0
"ky","3 wk ahead","Bin","percent","8.0","8.1",0
"ky","3 wk ahead","Bin","percent","8.1","8.2",0
"ky","3 wk ahead","Bin","percent","8.2","8.3",0
"ky","3 wk ahead","Bin","percent","8.3","8.4",0
"ky","3 wk ahead","Bin","percent","8.4","8.5",1e-04
"ky","3 wk ahead","Bin","percent","8.5","8.6",1e-04
"ky","3 wk ahead","Bin","percent","8.6","8.7",0
"ky","3 wk ahead","Bin","percent","8.7","8.8",0
"ky","3 wk ahead","Bin","percent","8.8","8.9",1e-04
"ky","3 wk ahead","Bin","percent","8.9","9.0",0
"ky","3 wk ahead","Bin","percent","9.0","9.1",0
"ky","3 wk ahead","Bin","percent","9.1","9.2",0
"ky","3 wk ahead","Bin","percent","9.2","9.3",0
"ky","3 wk ahead","Bin","percent","9.3","9.4",0
"ky","3 wk ahead","Bin","percent","9.4","9.5",1e-04
"ky","3 wk ahead","Bin","percent","9.5","9.6",1e-04
"ky","3 wk ahead","Bin","percent","9.6","9.7",0
"ky","3 wk ahead","Bin","percent","9.7","9.8",0
"ky","3 wk ahead","Bin","percent","9.8","9.9",0
"ky","3 wk ahead","Bin","percent","9.9","10.0",0
"ky","3 wk ahead","Bin","percent","10.0","10.1",0
"ky","3 wk ahead","Bin","percent","10.1","10.2",0
"ky","3 wk ahead","Bin","percent","10.2","10.3",1e-04
"ky","3 wk ahead","Bin","percent","10.3","10.4",1e-04
"ky","3 wk ahead","Bin","percent","10.4","10.5",0
"ky","3 wk ahead","Bin","percent","10.5","10.6",0
"ky","3 wk ahead","Bin","percent","10.6","10.7",0
"ky","3 wk ahead","Bin","percent","10.7","10.8",0
"ky","3 wk ahead","Bin","percent","10.8","10.9",2e-04
"ky","3 wk ahead","Bin","percent","10.9","11.0",0
"ky","3 wk ahead","Bin","percent","11.0","11.1",0
"ky","3 wk ahead","Bin","percent","11.1","11.2",0
"ky","3 wk ahead","Bin","percent","11.2","11.3",0
"ky","3 wk ahead","Bin","percent","11.3","11.4",0
"ky","3 wk ahead","Bin","percent","11.4","11.5",0
"ky","3 wk ahead","Bin","percent","11.5","11.6",1e-04
"ky","3 wk ahead","Bin","percent","11.6","11.7",0
"ky","3 wk ahead","Bin","percent","11.7","11.8",1e-04
"ky","3 wk ahead","Bin","percent","11.8","11.9",0
"ky","3 wk ahead","Bin","percent","11.9","12.0",0
"ky","3 wk ahead","Bin","percent","12.0","12.1",0
"ky","3 wk ahead","Bin","percent","12.1","12.2",0
"ky","3 wk ahead","Bin","percent","12.2","12.3",0
"ky","3 wk ahead","Bin","percent","12.3","12.4",0
"ky","3 wk ahead","Bin","percent","12.4","12.5",0
"ky","3 wk ahead","Bin","percent","12.5","12.6",0
"ky","3 wk ahead","Bin","percent","12.6","12.7",0
"ky","3 wk ahead","Bin","percent","12.7","12.8",0
"ky","3 wk ahead","Bin","percent","12.8","12.9",0
"ky","3 wk ahead","Bin","percent","12.9","13.0",0
"ky","3 wk ahead","Bin","percent","13.0","100.0",1e-04
"ky","4 wk ahead","Point","percent",NA,NA,1.1
"ky","4 wk ahead","Bin","percent","0.0","0.1",0.0017
"ky","4 wk ahead","Bin","percent","0.1","0.2",0.0055
"ky","4 wk ahead","Bin","percent","0.2","0.3",0.0122
"ky","4 wk ahead","Bin","percent","0.3","0.4",0.03
"ky","4 wk ahead","Bin","percent","0.4","0.5",0.0423
"ky","4 wk ahead","Bin","percent","0.5","0.6",0.0517
"ky","4 wk ahead","Bin","percent","0.6","0.7",0.0595
"ky","4 wk ahead","Bin","percent","0.7","0.8",0.0664
"ky","4 wk ahead","Bin","percent","0.8","0.9",0.0678
"ky","4 wk ahead","Bin","percent","0.9","1.0",0.0643
"ky","4 wk ahead","Bin","percent","1.0","1.1",0.0599
"ky","4 wk ahead","Bin","percent","1.1","1.2",0.0573
"ky","4 wk ahead","Bin","percent","1.2","1.3",0.0499
"ky","4 wk ahead","Bin","percent","1.3","1.4",0.0467
"ky","4 wk ahead","Bin","percent","1.4","1.5",0.0372
"ky","4 wk ahead","Bin","percent","1.5","1.6",0.0357
"ky","4 wk ahead","Bin","percent","1.6","1.7",0.0303
"ky","4 wk ahead","Bin","percent","1.7","1.8",0.0318
"ky","4 wk ahead","Bin","percent","1.8","1.9",0.0263
"ky","4 wk ahead","Bin","percent","1.9","2.0",0.0248
"ky","4 wk ahead","Bin","percent","2.0","2.1",0.0196
"ky","4 wk ahead","Bin","percent","2.1","2.2",0.0169
"ky","4 wk ahead","Bin","percent","2.2","2.3",0.0157
"ky","4 wk ahead","Bin","percent","2.3","2.4",0.0144
"ky","4 wk ahead","Bin","percent","2.4","2.5",0.0121
"ky","4 wk ahead","Bin","percent","2.5","2.6",0.0112
"ky","4 wk ahead","Bin","percent","2.6","2.7",0.0094
"ky","4 wk ahead","Bin","percent","2.7","2.8",0.0101
"ky","4 wk ahead","Bin","percent","2.8","2.9",0.0064
"ky","4 wk ahead","Bin","percent","2.9","3.0",0.0071
"ky","4 wk ahead","Bin","percent","3.0","3.1",0.0064
"ky","4 wk ahead","Bin","percent","3.1","3.2",0.0058
"ky","4 wk ahead","Bin","percent","3.2","3.3",0.0061
"ky","4 wk ahead","Bin","percent","3.3","3.4",0.005
"ky","4 wk ahead","Bin","percent","3.4","3.5",0.0043
"ky","4 wk ahead","Bin","percent","3.5","3.6",0.0028
"ky","4 wk ahead","Bin","percent","3.6","3.7",0.0044
"ky","4 wk ahead","Bin","percent","3.7","3.8",0.0026
"ky","4 wk ahead","Bin","percent","3.8","3.9",0.0039
"ky","4 wk ahead","Bin","percent","3.9","4.0",0.0024
"ky","4 wk ahead","Bin","percent","4.0","4.1",0.0026
"ky","4 wk ahead","Bin","percent","4.1","4.2",0.0021
"ky","4 wk ahead","Bin","percent","4.2","4.3",0.0022
"ky","4 wk ahead","Bin","percent","4.3","4.4",0.0028
"ky","4 wk ahead","Bin","percent","4.4","4.5",0.0016
"ky","4 wk ahead","Bin","percent","4.5","4.6",0.0011
"ky","4 wk ahead","Bin","percent","4.6","4.7",0.0017
"ky","4 wk ahead","Bin","percent","4.7","4.8",7e-04
"ky","4 wk ahead","Bin","percent","4.8","4.9",0.0011
"ky","4 wk ahead","Bin","percent","4.9","5.0",0.0019
"ky","4 wk ahead","Bin","percent","5.0","5.1",7e-04
"ky","4 wk ahead","Bin","percent","5.1","5.2",8e-04
"ky","4 wk ahead","Bin","percent","5.2","5.3",2e-04
"ky","4 wk ahead","Bin","percent","5.3","5.4",9e-04
"ky","4 wk ahead","Bin","percent","5.4","5.5",6e-04
"ky","4 wk ahead","Bin","percent","5.5","5.6",0.0011
"ky","4 wk ahead","Bin","percent","5.6","5.7",0.0013
