"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ia","1 wk ahead","Point","percent",NA,NA,0.6
"ia","1 wk ahead","Bin","percent","0.0","0.1",0
"ia","1 wk ahead","Bin","percent","0.1","0.2",0.0042
"ia","1 wk ahead","Bin","percent","0.2","0.3",0.0322
"ia","1 wk ahead","Bin","percent","0.3","0.4",0.0932
"ia","1 wk ahead","Bin","percent","0.4","0.5",0.1504
"ia","1 wk ahead","Bin","percent","0.5","0.6",0.1698
"ia","1 wk ahead","Bin","percent","0.6","0.7",0.147
"ia","1 wk ahead","Bin","percent","0.7","0.8",0.1192
"ia","1 wk ahead","Bin","percent","0.8","0.9",0.0812
"ia","1 wk ahead","Bin","percent","0.9","1.0",0.0607
"ia","1 wk ahead","Bin","percent","1.0","1.1",0.0439
"ia","1 wk ahead","Bin","percent","1.1","1.2",0.0292
"ia","1 wk ahead","Bin","percent","1.2","1.3",0.0202
"ia","1 wk ahead","Bin","percent","1.3","1.4",0.0136
"ia","1 wk ahead","Bin","percent","1.4","1.5",0.0098
"ia","1 wk ahead","Bin","percent","1.5","1.6",0.0055
"ia","1 wk ahead","Bin","percent","1.6","1.7",0.0042
"ia","1 wk ahead","Bin","percent","1.7","1.8",0.003
"ia","1 wk ahead","Bin","percent","1.8","1.9",0.0029
"ia","1 wk ahead","Bin","percent","1.9","2.0",0.002
"ia","1 wk ahead","Bin","percent","2.0","2.1",0.0017
"ia","1 wk ahead","Bin","percent","2.1","2.2",0.0011
"ia","1 wk ahead","Bin","percent","2.2","2.3",8e-04
"ia","1 wk ahead","Bin","percent","2.3","2.4",7e-04
"ia","1 wk ahead","Bin","percent","2.4","2.5",7e-04
"ia","1 wk ahead","Bin","percent","2.5","2.6",4e-04
"ia","1 wk ahead","Bin","percent","2.6","2.7",3e-04
"ia","1 wk ahead","Bin","percent","2.7","2.8",7e-04
"ia","1 wk ahead","Bin","percent","2.8","2.9",2e-04
"ia","1 wk ahead","Bin","percent","2.9","3.0",1e-04
"ia","1 wk ahead","Bin","percent","3.0","3.1",2e-04
"ia","1 wk ahead","Bin","percent","3.1","3.2",2e-04
"ia","1 wk ahead","Bin","percent","3.2","3.3",0
"ia","1 wk ahead","Bin","percent","3.3","3.4",2e-04
"ia","1 wk ahead","Bin","percent","3.4","3.5",1e-04
"ia","1 wk ahead","Bin","percent","3.5","3.6",2e-04
"ia","1 wk ahead","Bin","percent","3.6","3.7",1e-04
"ia","1 wk ahead","Bin","percent","3.7","3.8",0
"ia","1 wk ahead","Bin","percent","3.8","3.9",0
"ia","1 wk ahead","Bin","percent","3.9","4.0",0
"ia","1 wk ahead","Bin","percent","4.0","4.1",1e-04
"ia","1 wk ahead","Bin","percent","4.1","4.2",0
"ia","1 wk ahead","Bin","percent","4.2","4.3",0
"ia","1 wk ahead","Bin","percent","4.3","4.4",0
"ia","1 wk ahead","Bin","percent","4.4","4.5",0
"ia","1 wk ahead","Bin","percent","4.5","4.6",0
"ia","1 wk ahead","Bin","percent","4.6","4.7",0
"ia","1 wk ahead","Bin","percent","4.7","4.8",0
"ia","1 wk ahead","Bin","percent","4.8","4.9",0
"ia","1 wk ahead","Bin","percent","4.9","5.0",0
"ia","1 wk ahead","Bin","percent","5.0","5.1",0
"ia","1 wk ahead","Bin","percent","5.1","5.2",0
"ia","1 wk ahead","Bin","percent","5.2","5.3",0
"ia","1 wk ahead","Bin","percent","5.3","5.4",0
"ia","1 wk ahead","Bin","percent","5.4","5.5",0
"ia","1 wk ahead","Bin","percent","5.5","5.6",0
"ia","1 wk ahead","Bin","percent","5.6","5.7",0
"ia","1 wk ahead","Bin","percent","5.7","5.8",0
"ia","1 wk ahead","Bin","percent","5.8","5.9",0
"ia","1 wk ahead","Bin","percent","5.9","6.0",0
"ia","1 wk ahead","Bin","percent","6.0","6.1",0
"ia","1 wk ahead","Bin","percent","6.1","6.2",0
"ia","1 wk ahead","Bin","percent","6.2","6.3",0
"ia","1 wk ahead","Bin","percent","6.3","6.4",0
"ia","1 wk ahead","Bin","percent","6.4","6.5",0
