"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"hi","1 wk ahead","Bin","percent","4.5","4.6",0.0061
"hi","1 wk ahead","Bin","percent","4.6","4.7",0.0062
"hi","1 wk ahead","Bin","percent","4.7","4.8",0.0045
"hi","1 wk ahead","Bin","percent","4.8","4.9",0.0037
"hi","1 wk ahead","Bin","percent","4.9","5.0",0.0027
"hi","1 wk ahead","Bin","percent","5.0","5.1",0.0038
"hi","1 wk ahead","Bin","percent","5.1","5.2",0.0024
"hi","1 wk ahead","Bin","percent","5.2","5.3",0.0022
"hi","1 wk ahead","Bin","percent","5.3","5.4",0.0014
"hi","1 wk ahead","Bin","percent","5.4","5.5",0.0011
"hi","1 wk ahead","Bin","percent","5.5","5.6",0.0017
"hi","1 wk ahead","Bin","percent","5.6","5.7",3e-04
"hi","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"hi","1 wk ahead","Bin","percent","5.8","5.9",3e-04
"hi","1 wk ahead","Bin","percent","5.9","6.0",4e-04
"hi","1 wk ahead","Bin","percent","6.0","6.1",4e-04
"hi","1 wk ahead","Bin","percent","6.1","6.2",3e-04
"hi","1 wk ahead","Bin","percent","6.2","6.3",2e-04
"hi","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"hi","1 wk ahead","Bin","percent","6.4","6.5",4e-04
"hi","1 wk ahead","Bin","percent","6.5","6.6",0
"hi","1 wk ahead","Bin","percent","6.6","6.7",0
"hi","1 wk ahead","Bin","percent","6.7","6.8",0
"hi","1 wk ahead","Bin","percent","6.8","6.9",1e-04
"hi","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"hi","1 wk ahead","Bin","percent","7.0","7.1",0
"hi","1 wk ahead","Bin","percent","7.1","7.2",1e-04
"hi","1 wk ahead","Bin","percent","7.2","7.3",0
"hi","1 wk ahead","Bin","percent","7.3","7.4",0
"hi","1 wk ahead","Bin","percent","7.4","7.5",0
"hi","1 wk ahead","Bin","percent","7.5","7.6",0
"hi","1 wk ahead","Bin","percent","7.6","7.7",1e-04
"hi","1 wk ahead","Bin","percent","7.7","7.8",0
"hi","1 wk ahead","Bin","percent","7.8","7.9",0
"hi","1 wk ahead","Bin","percent","7.9","8.0",0
"hi","1 wk ahead","Bin","percent","8.0","8.1",0
"hi","1 wk ahead","Bin","percent","8.1","8.2",0
"hi","1 wk ahead","Bin","percent","8.2","8.3",0
"hi","1 wk ahead","Bin","percent","8.3","8.4",0
"hi","1 wk ahead","Bin","percent","8.4","8.5",0
"hi","1 wk ahead","Bin","percent","8.5","8.6",0
"hi","1 wk ahead","Bin","percent","8.6","8.7",0
"hi","1 wk ahead","Bin","percent","8.7","8.8",0
"hi","1 wk ahead","Bin","percent","8.8","8.9",0
"hi","1 wk ahead","Bin","percent","8.9","9.0",0
"hi","1 wk ahead","Bin","percent","9.0","9.1",0
"hi","1 wk ahead","Bin","percent","9.1","9.2",0
"hi","1 wk ahead","Bin","percent","9.2","9.3",0
"hi","1 wk ahead","Bin","percent","9.3","9.4",0
"hi","1 wk ahead","Bin","percent","9.4","9.5",0
"hi","1 wk ahead","Bin","percent","9.5","9.6",0
"hi","1 wk ahead","Bin","percent","9.6","9.7",0
"hi","1 wk ahead","Bin","percent","9.7","9.8",0
"hi","1 wk ahead","Bin","percent","9.8","9.9",0
"hi","1 wk ahead","Bin","percent","9.9","10.0",0
"hi","1 wk ahead","Bin","percent","10.0","10.1",0
"hi","1 wk ahead","Bin","percent","10.1","10.2",0
"hi","1 wk ahead","Bin","percent","10.2","10.3",0
"hi","1 wk ahead","Bin","percent","10.3","10.4",0
"hi","1 wk ahead","Bin","percent","10.4","10.5",0
"hi","1 wk ahead","Bin","percent","10.5","10.6",0
"hi","1 wk ahead","Bin","percent","10.6","10.7",0
"hi","1 wk ahead","Bin","percent","10.7","10.8",0
"hi","1 wk ahead","Bin","percent","10.8","10.9",0
"hi","1 wk ahead","Bin","percent","10.9","11.0",0
"hi","1 wk ahead","Bin","percent","11.0","11.1",0
"hi","1 wk ahead","Bin","percent","11.1","11.2",0
"hi","1 wk ahead","Bin","percent","11.2","11.3",0
"hi","1 wk ahead","Bin","percent","11.3","11.4",0
"hi","1 wk ahead","Bin","percent","11.4","11.5",0
"hi","1 wk ahead","Bin","percent","11.5","11.6",0
"hi","1 wk ahead","Bin","percent","11.6","11.7",0
"hi","1 wk ahead","Bin","percent","11.7","11.8",0
"hi","1 wk ahead","Bin","percent","11.8","11.9",0
"hi","1 wk ahead","Bin","percent","11.9","12.0",0
"hi","1 wk ahead","Bin","percent","12.0","12.1",0
"hi","1 wk ahead","Bin","percent","12.1","12.2",0
"hi","1 wk ahead","Bin","percent","12.2","12.3",0
"hi","1 wk ahead","Bin","percent","12.3","12.4",0
"hi","1 wk ahead","Bin","percent","12.4","12.5",0
"hi","1 wk ahead","Bin","percent","12.5","12.6",0
"hi","1 wk ahead","Bin","percent","12.6","12.7",0
"hi","1 wk ahead","Bin","percent","12.7","12.8",0
"hi","1 wk ahead","Bin","percent","12.8","12.9",0
"hi","1 wk ahead","Bin","percent","12.9","13.0",0
"hi","1 wk ahead","Bin","percent","13.0","100.0",0
"hi","2 wk ahead","Point","percent",NA,NA,2.7
"hi","2 wk ahead","Bin","percent","0.0","0.1",0
"hi","2 wk ahead","Bin","percent","0.1","0.2",0
"hi","2 wk ahead","Bin","percent","0.2","0.3",0
"hi","2 wk ahead","Bin","percent","0.3","0.4",0
"hi","2 wk ahead","Bin","percent","0.4","0.5",0
"hi","2 wk ahead","Bin","percent","0.5","0.6",0
"hi","2 wk ahead","Bin","percent","0.6","0.7",0
"hi","2 wk ahead","Bin","percent","0.7","0.8",7e-04
"hi","2 wk ahead","Bin","percent","0.8","0.9",4e-04
"hi","2 wk ahead","Bin","percent","0.9","1.0",0.0013
"hi","2 wk ahead","Bin","percent","1.0","1.1",0.0024
"hi","2 wk ahead","Bin","percent","1.1","1.2",0.0037
"hi","2 wk ahead","Bin","percent","1.2","1.3",0.0067
"hi","2 wk ahead","Bin","percent","1.3","1.4",0.0103
"hi","2 wk ahead","Bin","percent","1.4","1.5",0.0133
"hi","2 wk ahead","Bin","percent","1.5","1.6",0.0184
"hi","2 wk ahead","Bin","percent","1.6","1.7",0.0222
"hi","2 wk ahead","Bin","percent","1.7","1.8",0.0242
"hi","2 wk ahead","Bin","percent","1.8","1.9",0.0284
"hi","2 wk ahead","Bin","percent","1.9","2.0",0.0337
"hi","2 wk ahead","Bin","percent","2.0","2.1",0.0375
"hi","2 wk ahead","Bin","percent","2.1","2.2",0.0422
"hi","2 wk ahead","Bin","percent","2.2","2.3",0.0421
"hi","2 wk ahead","Bin","percent","2.3","2.4",0.0448
"hi","2 wk ahead","Bin","percent","2.4","2.5",0.0453
"hi","2 wk ahead","Bin","percent","2.5","2.6",0.0435
"hi","2 wk ahead","Bin","percent","2.6","2.7",0.0444
"hi","2 wk ahead","Bin","percent","2.7","2.8",0.0437
"hi","2 wk ahead","Bin","percent","2.8","2.9",0.045
"hi","2 wk ahead","Bin","percent","2.9","3.0",0.0434
"hi","2 wk ahead","Bin","percent","3.0","3.1",0.0358
"hi","2 wk ahead","Bin","percent","3.1","3.2",0.0382
"hi","2 wk ahead","Bin","percent","3.2","3.3",0.0333
"hi","2 wk ahead","Bin","percent","3.3","3.4",0.0276
"hi","2 wk ahead","Bin","percent","3.4","3.5",0.0288
"hi","2 wk ahead","Bin","percent","3.5","3.6",0.0274
"hi","2 wk ahead","Bin","percent","3.6","3.7",0.0245
"hi","2 wk ahead","Bin","percent","3.7","3.8",0.0216
"hi","2 wk ahead","Bin","percent","3.8","3.9",0.0193
"hi","2 wk ahead","Bin","percent","3.9","4.0",0.0192
"hi","2 wk ahead","Bin","percent","4.0","4.1",0.0142
"hi","2 wk ahead","Bin","percent","4.1","4.2",0.0149
"hi","2 wk ahead","Bin","percent","4.2","4.3",0.015
"hi","2 wk ahead","Bin","percent","4.3","4.4",0.0105
"hi","2 wk ahead","Bin","percent","4.4","4.5",0.0105
"hi","2 wk ahead","Bin","percent","4.5","4.6",0.0093
"hi","2 wk ahead","Bin","percent","4.6","4.7",0.0074
"hi","2 wk ahead","Bin","percent","4.7","4.8",0.0069
"hi","2 wk ahead","Bin","percent","4.8","4.9",0.0043
"hi","2 wk ahead","Bin","percent","4.9","5.0",0.0039
"hi","2 wk ahead","Bin","percent","5.0","5.1",0.004
"hi","2 wk ahead","Bin","percent","5.1","5.2",0.0017
"hi","2 wk ahead","Bin","percent","5.2","5.3",0.004
"hi","2 wk ahead","Bin","percent","5.3","5.4",0.0034
"hi","2 wk ahead","Bin","percent","5.4","5.5",0.0022
"hi","2 wk ahead","Bin","percent","5.5","5.6",0.001
"hi","2 wk ahead","Bin","percent","5.6","5.7",0.0012
"hi","2 wk ahead","Bin","percent","5.7","5.8",0.0017
"hi","2 wk ahead","Bin","percent","5.8","5.9",0.0013
"hi","2 wk ahead","Bin","percent","5.9","6.0",6e-04
"hi","2 wk ahead","Bin","percent","6.0","6.1",0.0013
"hi","2 wk ahead","Bin","percent","6.1","6.2",0.0012
"hi","2 wk ahead","Bin","percent","6.2","6.3",6e-04
"hi","2 wk ahead","Bin","percent","6.3","6.4",0.0012
"hi","2 wk ahead","Bin","percent","6.4","6.5",2e-04
"hi","2 wk ahead","Bin","percent","6.5","6.6",8e-04
"hi","2 wk ahead","Bin","percent","6.6","6.7",5e-04
"hi","2 wk ahead","Bin","percent","6.7","6.8",3e-04
"hi","2 wk ahead","Bin","percent","6.8","6.9",2e-04
"hi","2 wk ahead","Bin","percent","6.9","7.0",1e-04
"hi","2 wk ahead","Bin","percent","7.0","7.1",3e-04
"hi","2 wk ahead","Bin","percent","7.1","7.2",2e-04
"hi","2 wk ahead","Bin","percent","7.2","7.3",4e-04
"hi","2 wk ahead","Bin","percent","7.3","7.4",4e-04
"hi","2 wk ahead","Bin","percent","7.4","7.5",1e-04
"hi","2 wk ahead","Bin","percent","7.5","7.6",1e-04
"hi","2 wk ahead","Bin","percent","7.6","7.7",1e-04
"hi","2 wk ahead","Bin","percent","7.7","7.8",2e-04
"hi","2 wk ahead","Bin","percent","7.8","7.9",0
"hi","2 wk ahead","Bin","percent","7.9","8.0",1e-04
"hi","2 wk ahead","Bin","percent","8.0","8.1",2e-04
"hi","2 wk ahead","Bin","percent","8.1","8.2",1e-04
"hi","2 wk ahead","Bin","percent","8.2","8.3",0
"hi","2 wk ahead","Bin","percent","8.3","8.4",1e-04
"hi","2 wk ahead","Bin","percent","8.4","8.5",0
"hi","2 wk ahead","Bin","percent","8.5","8.6",0
"hi","2 wk ahead","Bin","percent","8.6","8.7",0
"hi","2 wk ahead","Bin","percent","8.7","8.8",0
"hi","2 wk ahead","Bin","percent","8.8","8.9",0
"hi","2 wk ahead","Bin","percent","8.9","9.0",0
"hi","2 wk ahead","Bin","percent","9.0","9.1",0
"hi","2 wk ahead","Bin","percent","9.1","9.2",0
"hi","2 wk ahead","Bin","percent","9.2","9.3",0
"hi","2 wk ahead","Bin","percent","9.3","9.4",0
"hi","2 wk ahead","Bin","percent","9.4","9.5",0
"hi","2 wk ahead","Bin","percent","9.5","9.6",0
"hi","2 wk ahead","Bin","percent","9.6","9.7",0
"hi","2 wk ahead","Bin","percent","9.7","9.8",0
"hi","2 wk ahead","Bin","percent","9.8","9.9",0
"hi","2 wk ahead","Bin","percent","9.9","10.0",0
"hi","2 wk ahead","Bin","percent","10.0","10.1",0
"hi","2 wk ahead","Bin","percent","10.1","10.2",0
"hi","2 wk ahead","Bin","percent","10.2","10.3",0
"hi","2 wk ahead","Bin","percent","10.3","10.4",0
"hi","2 wk ahead","Bin","percent","10.4","10.5",0
"hi","2 wk ahead","Bin","percent","10.5","10.6",0
"hi","2 wk ahead","Bin","percent","10.6","10.7",0
"hi","2 wk ahead","Bin","percent","10.7","10.8",0
"hi","2 wk ahead","Bin","percent","10.8","10.9",0
"hi","2 wk ahead","Bin","percent","10.9","11.0",0
"hi","2 wk ahead","Bin","percent","11.0","11.1",0
"hi","2 wk ahead","Bin","percent","11.1","11.2",0
"hi","2 wk ahead","Bin","percent","11.2","11.3",0
"hi","2 wk ahead","Bin","percent","11.3","11.4",0
"hi","2 wk ahead","Bin","percent","11.4","11.5",0
"hi","2 wk ahead","Bin","percent","11.5","11.6",0
"hi","2 wk ahead","Bin","percent","11.6","11.7",0
"hi","2 wk ahead","Bin","percent","11.7","11.8",0
"hi","2 wk ahead","Bin","percent","11.8","11.9",0
"hi","2 wk ahead","Bin","percent","11.9","12.0",0
"hi","2 wk ahead","Bin","percent","12.0","12.1",0
"hi","2 wk ahead","Bin","percent","12.1","12.2",0
"hi","2 wk ahead","Bin","percent","12.2","12.3",0
"hi","2 wk ahead","Bin","percent","12.3","12.4",0
"hi","2 wk ahead","Bin","percent","12.4","12.5",0
"hi","2 wk ahead","Bin","percent","12.5","12.6",0
"hi","2 wk ahead","Bin","percent","12.6","12.7",0
"hi","2 wk ahead","Bin","percent","12.7","12.8",0
"hi","2 wk ahead","Bin","percent","12.8","12.9",0
"hi","2 wk ahead","Bin","percent","12.9","13.0",0
"hi","2 wk ahead","Bin","percent","13.0","100.0",0
"hi","3 wk ahead","Point","percent",NA,NA,2.7
"hi","3 wk ahead","Bin","percent","0.0","0.1",0
"hi","3 wk ahead","Bin","percent","0.1","0.2",0
"hi","3 wk ahead","Bin","percent","0.2","0.3",2e-04
"hi","3 wk ahead","Bin","percent","0.3","0.4",1e-04
"hi","3 wk ahead","Bin","percent","0.4","0.5",0
"hi","3 wk ahead","Bin","percent","0.5","0.6",3e-04
"hi","3 wk ahead","Bin","percent","0.6","0.7",2e-04
"hi","3 wk ahead","Bin","percent","0.7","0.8",0.0016
"hi","3 wk ahead","Bin","percent","0.8","0.9",0.0013
"hi","3 wk ahead","Bin","percent","0.9","1.0",0.0034
"hi","3 wk ahead","Bin","percent","1.0","1.1",0.0055
"hi","3 wk ahead","Bin","percent","1.1","1.2",0.0087
"hi","3 wk ahead","Bin","percent","1.2","1.3",0.0116
"hi","3 wk ahead","Bin","percent","1.3","1.4",0.0142
"hi","3 wk ahead","Bin","percent","1.4","1.5",0.019
"hi","3 wk ahead","Bin","percent","1.5","1.6",0.0214
"hi","3 wk ahead","Bin","percent","1.6","1.7",0.0289
"hi","3 wk ahead","Bin","percent","1.7","1.8",0.0293
"hi","3 wk ahead","Bin","percent","1.8","1.9",0.031
"hi","3 wk ahead","Bin","percent","1.9","2.0",0.0353
"hi","3 wk ahead","Bin","percent","2.0","2.1",0.0374
"hi","3 wk ahead","Bin","percent","2.1","2.2",0.0388
"hi","3 wk ahead","Bin","percent","2.2","2.3",0.0431
"hi","3 wk ahead","Bin","percent","2.3","2.4",0.0397
"hi","3 wk ahead","Bin","percent","2.4","2.5",0.0426
"hi","3 wk ahead","Bin","percent","2.5","2.6",0.0415
"hi","3 wk ahead","Bin","percent","2.6","2.7",0.0398
"hi","3 wk ahead","Bin","percent","2.7","2.8",0.039
"hi","3 wk ahead","Bin","percent","2.8","2.9",0.0379
"hi","3 wk ahead","Bin","percent","2.9","3.0",0.0347
"hi","3 wk ahead","Bin","percent","3.0","3.1",0.033
"hi","3 wk ahead","Bin","percent","3.1","3.2",0.033
"hi","3 wk ahead","Bin","percent","3.2","3.3",0.0293
"hi","3 wk ahead","Bin","percent","3.3","3.4",0.031
"hi","3 wk ahead","Bin","percent","3.4","3.5",0.0311
"hi","3 wk ahead","Bin","percent","3.5","3.6",0.0203
"hi","3 wk ahead","Bin","percent","3.6","3.7",0.0196
"hi","3 wk ahead","Bin","percent","3.7","3.8",0.0177
"hi","3 wk ahead","Bin","percent","3.8","3.9",0.0184
"hi","3 wk ahead","Bin","percent","3.9","4.0",0.0155
"hi","3 wk ahead","Bin","percent","4.0","4.1",0.0173
"hi","3 wk ahead","Bin","percent","4.1","4.2",0.0141
"hi","3 wk ahead","Bin","percent","4.2","4.3",0.0141
"hi","3 wk ahead","Bin","percent","4.3","4.4",0.0096
"hi","3 wk ahead","Bin","percent","4.4","4.5",0.0095
"hi","3 wk ahead","Bin","percent","4.5","4.6",0.0094
"hi","3 wk ahead","Bin","percent","4.6","4.7",0.0085
"hi","3 wk ahead","Bin","percent","4.7","4.8",0.0067
"hi","3 wk ahead","Bin","percent","4.8","4.9",0.0069
"hi","3 wk ahead","Bin","percent","4.9","5.0",0.0052
"hi","3 wk ahead","Bin","percent","5.0","5.1",0.0047
"hi","3 wk ahead","Bin","percent","5.1","5.2",0.0044
"hi","3 wk ahead","Bin","percent","5.2","5.3",0.0043
"hi","3 wk ahead","Bin","percent","5.3","5.4",0.0038
"hi","3 wk ahead","Bin","percent","5.4","5.5",0.0026
"hi","3 wk ahead","Bin","percent","5.5","5.6",0.003
"hi","3 wk ahead","Bin","percent","5.6","5.7",0.0024
"hi","3 wk ahead","Bin","percent","5.7","5.8",0.0035
"hi","3 wk ahead","Bin","percent","5.8","5.9",0.0013
"hi","3 wk ahead","Bin","percent","5.9","6.0",0.0014
"hi","3 wk ahead","Bin","percent","6.0","6.1",0.0019
"hi","3 wk ahead","Bin","percent","6.1","6.2",7e-04
"hi","3 wk ahead","Bin","percent","6.2","6.3",0.001
"hi","3 wk ahead","Bin","percent","6.3","6.4",4e-04
"hi","3 wk ahead","Bin","percent","6.4","6.5",0.0012
"hi","3 wk ahead","Bin","percent","6.5","6.6",6e-04
"hi","3 wk ahead","Bin","percent","6.6","6.7",7e-04
"hi","3 wk ahead","Bin","percent","6.7","6.8",2e-04
"hi","3 wk ahead","Bin","percent","6.8","6.9",8e-04
"hi","3 wk ahead","Bin","percent","6.9","7.0",6e-04
"hi","3 wk ahead","Bin","percent","7.0","7.1",5e-04
"hi","3 wk ahead","Bin","percent","7.1","7.2",4e-04
"hi","3 wk ahead","Bin","percent","7.2","7.3",4e-04
"hi","3 wk ahead","Bin","percent","7.3","7.4",4e-04
"hi","3 wk ahead","Bin","percent","7.4","7.5",2e-04
"hi","3 wk ahead","Bin","percent","7.5","7.6",1e-04
"hi","3 wk ahead","Bin","percent","7.6","7.7",0
"hi","3 wk ahead","Bin","percent","7.7","7.8",0
"hi","3 wk ahead","Bin","percent","7.8","7.9",0
"hi","3 wk ahead","Bin","percent","7.9","8.0",2e-04
"hi","3 wk ahead","Bin","percent","8.0","8.1",0
"hi","3 wk ahead","Bin","percent","8.1","8.2",1e-04
"hi","3 wk ahead","Bin","percent","8.2","8.3",2e-04
"hi","3 wk ahead","Bin","percent","8.3","8.4",0
"hi","3 wk ahead","Bin","percent","8.4","8.5",3e-04
"hi","3 wk ahead","Bin","percent","8.5","8.6",0
"hi","3 wk ahead","Bin","percent","8.6","8.7",0
"hi","3 wk ahead","Bin","percent","8.7","8.8",1e-04
"hi","3 wk ahead","Bin","percent","8.8","8.9",1e-04
"hi","3 wk ahead","Bin","percent","8.9","9.0",0
"hi","3 wk ahead","Bin","percent","9.0","9.1",1e-04
"hi","3 wk ahead","Bin","percent","9.1","9.2",2e-04
"hi","3 wk ahead","Bin","percent","9.2","9.3",0
"hi","3 wk ahead","Bin","percent","9.3","9.4",1e-04
"hi","3 wk ahead","Bin","percent","9.4","9.5",0
"hi","3 wk ahead","Bin","percent","9.5","9.6",0
"hi","3 wk ahead","Bin","percent","9.6","9.7",0
"hi","3 wk ahead","Bin","percent","9.7","9.8",2e-04
"hi","3 wk ahead","Bin","percent","9.8","9.9",0
"hi","3 wk ahead","Bin","percent","9.9","10.0",0
"hi","3 wk ahead","Bin","percent","10.0","10.1",1e-04
"hi","3 wk ahead","Bin","percent","10.1","10.2",0
"hi","3 wk ahead","Bin","percent","10.2","10.3",0
"hi","3 wk ahead","Bin","percent","10.3","10.4",0
"hi","3 wk ahead","Bin","percent","10.4","10.5",0
"hi","3 wk ahead","Bin","percent","10.5","10.6",1e-04
"hi","3 wk ahead","Bin","percent","10.6","10.7",0
"hi","3 wk ahead","Bin","percent","10.7","10.8",0
"hi","3 wk ahead","Bin","percent","10.8","10.9",0
"hi","3 wk ahead","Bin","percent","10.9","11.0",0
"hi","3 wk ahead","Bin","percent","11.0","11.1",0
"hi","3 wk ahead","Bin","percent","11.1","11.2",0
"hi","3 wk ahead","Bin","percent","11.2","11.3",0
"hi","3 wk ahead","Bin","percent","11.3","11.4",0
"hi","3 wk ahead","Bin","percent","11.4","11.5",0
"hi","3 wk ahead","Bin","percent","11.5","11.6",0
"hi","3 wk ahead","Bin","percent","11.6","11.7",0
"hi","3 wk ahead","Bin","percent","11.7","11.8",0
"hi","3 wk ahead","Bin","percent","11.8","11.9",0
"hi","3 wk ahead","Bin","percent","11.9","12.0",0
"hi","3 wk ahead","Bin","percent","12.0","12.1",0
"hi","3 wk ahead","Bin","percent","12.1","12.2",0
"hi","3 wk ahead","Bin","percent","12.2","12.3",0
"hi","3 wk ahead","Bin","percent","12.3","12.4",0
"hi","3 wk ahead","Bin","percent","12.4","12.5",0
"hi","3 wk ahead","Bin","percent","12.5","12.6",0
"hi","3 wk ahead","Bin","percent","12.6","12.7",0
"hi","3 wk ahead","Bin","percent","12.7","12.8",0
"hi","3 wk ahead","Bin","percent","12.8","12.9",0
"hi","3 wk ahead","Bin","percent","12.9","13.0",0
"hi","3 wk ahead","Bin","percent","13.0","100.0",0
"hi","4 wk ahead","Point","percent",NA,NA,2.6
"hi","4 wk ahead","Bin","percent","0.0","0.1",0
"hi","4 wk ahead","Bin","percent","0.1","0.2",0
"hi","4 wk ahead","Bin","percent","0.2","0.3",0
"hi","4 wk ahead","Bin","percent","0.3","0.4",1e-04
"hi","4 wk ahead","Bin","percent","0.4","0.5",3e-04
"hi","4 wk ahead","Bin","percent","0.5","0.6",4e-04
"hi","4 wk ahead","Bin","percent","0.6","0.7",0.0014
"hi","4 wk ahead","Bin","percent","0.7","0.8",0.0018
"hi","4 wk ahead","Bin","percent","0.8","0.9",0.0044
"hi","4 wk ahead","Bin","percent","0.9","1.0",0.0052
"hi","4 wk ahead","Bin","percent","1.0","1.1",0.007
"hi","4 wk ahead","Bin","percent","1.1","1.2",0.0107
"hi","4 wk ahead","Bin","percent","1.2","1.3",0.0125
"hi","4 wk ahead","Bin","percent","1.3","1.4",0.0161
"hi","4 wk ahead","Bin","percent","1.4","1.5",0.0237
"hi","4 wk ahead","Bin","percent","1.5","1.6",0.025
"hi","4 wk ahead","Bin","percent","1.6","1.7",0.0318
"hi","4 wk ahead","Bin","percent","1.7","1.8",0.0337
"hi","4 wk ahead","Bin","percent","1.8","1.9",0.0286
"hi","4 wk ahead","Bin","percent","1.9","2.0",0.0368
"hi","4 wk ahead","Bin","percent","2.0","2.1",0.0371
"hi","4 wk ahead","Bin","percent","2.1","2.2",0.0379
"hi","4 wk ahead","Bin","percent","2.2","2.3",0.0413
"hi","4 wk ahead","Bin","percent","2.3","2.4",0.0359
"hi","4 wk ahead","Bin","percent","2.4","2.5",0.0369
"hi","4 wk ahead","Bin","percent","2.5","2.6",0.0398
"hi","4 wk ahead","Bin","percent","2.6","2.7",0.0376
"hi","4 wk ahead","Bin","percent","2.7","2.8",0.0378
"hi","4 wk ahead","Bin","percent","2.8","2.9",0.0319
"hi","4 wk ahead","Bin","percent","2.9","3.0",0.034
"hi","4 wk ahead","Bin","percent","3.0","3.1",0.0315
"hi","4 wk ahead","Bin","percent","3.1","3.2",0.0311
"hi","4 wk ahead","Bin","percent","3.2","3.3",0.0259
"hi","4 wk ahead","Bin","percent","3.3","3.4",0.0287
"hi","4 wk ahead","Bin","percent","3.4","3.5",0.0222
"hi","4 wk ahead","Bin","percent","3.5","3.6",0.0239
"hi","4 wk ahead","Bin","percent","3.6","3.7",0.0229
"hi","4 wk ahead","Bin","percent","3.7","3.8",0.0182
"hi","4 wk ahead","Bin","percent","3.8","3.9",0.016
"hi","4 wk ahead","Bin","percent","3.9","4.0",0.0148
"hi","4 wk ahead","Bin","percent","4.0","4.1",0.0161
"hi","4 wk ahead","Bin","percent","4.1","4.2",0.013
"hi","4 wk ahead","Bin","percent","4.2","4.3",0.0126
"hi","4 wk ahead","Bin","percent","4.3","4.4",0.01
"hi","4 wk ahead","Bin","percent","4.4","4.5",0.0099
"hi","4 wk ahead","Bin","percent","4.5","4.6",0.0091
"hi","4 wk ahead","Bin","percent","4.6","4.7",0.008
"hi","4 wk ahead","Bin","percent","4.7","4.8",0.0057
"hi","4 wk ahead","Bin","percent","4.8","4.9",0.0081
"hi","4 wk ahead","Bin","percent","4.9","5.0",0.007
"hi","4 wk ahead","Bin","percent","5.0","5.1",0.0055
"hi","4 wk ahead","Bin","percent","5.1","5.2",0.0046
"hi","4 wk ahead","Bin","percent","5.2","5.3",0.0043
"hi","4 wk ahead","Bin","percent","5.3","5.4",0.0046
"hi","4 wk ahead","Bin","percent","5.4","5.5",0.0041
"hi","4 wk ahead","Bin","percent","5.5","5.6",0.0028
