"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ca","1 wk ahead","Point","percent",NA,NA,2.1
"ca","1 wk ahead","Bin","percent","0.0","0.1",0
"ca","1 wk ahead","Bin","percent","0.1","0.2",0
"ca","1 wk ahead","Bin","percent","0.2","0.3",0
"ca","1 wk ahead","Bin","percent","0.3","0.4",0
"ca","1 wk ahead","Bin","percent","0.4","0.5",0
"ca","1 wk ahead","Bin","percent","0.5","0.6",0
"ca","1 wk ahead","Bin","percent","0.6","0.7",0
"ca","1 wk ahead","Bin","percent","0.7","0.8",0
"ca","1 wk ahead","Bin","percent","0.8","0.9",0
"ca","1 wk ahead","Bin","percent","0.9","1.0",0
"ca","1 wk ahead","Bin","percent","1.0","1.1",0
"ca","1 wk ahead","Bin","percent","1.1","1.2",0
"ca","1 wk ahead","Bin","percent","1.2","1.3",0
"ca","1 wk ahead","Bin","percent","1.3","1.4",0
"ca","1 wk ahead","Bin","percent","1.4","1.5",3e-04
"ca","1 wk ahead","Bin","percent","1.5","1.6",0.0018
"ca","1 wk ahead","Bin","percent","1.6","1.7",0.0115
"ca","1 wk ahead","Bin","percent","1.7","1.8",0.0323
"ca","1 wk ahead","Bin","percent","1.8","1.9",0.0672
"ca","1 wk ahead","Bin","percent","1.9","2.0",0.1124
"ca","1 wk ahead","Bin","percent","2.0","2.1",0.146
"ca","1 wk ahead","Bin","percent","2.1","2.2",0.1549
"ca","1 wk ahead","Bin","percent","2.2","2.3",0.1435
"ca","1 wk ahead","Bin","percent","2.3","2.4",0.1157
"ca","1 wk ahead","Bin","percent","2.4","2.5",0.0823
"ca","1 wk ahead","Bin","percent","2.5","2.6",0.0523
"ca","1 wk ahead","Bin","percent","2.6","2.7",0.0342
"ca","1 wk ahead","Bin","percent","2.7","2.8",0.0197
"ca","1 wk ahead","Bin","percent","2.8","2.9",0.0122
"ca","1 wk ahead","Bin","percent","2.9","3.0",0.0063
"ca","1 wk ahead","Bin","percent","3.0","3.1",0.0041
"ca","1 wk ahead","Bin","percent","3.1","3.2",0.0013
"ca","1 wk ahead","Bin","percent","3.2","3.3",9e-04
"ca","1 wk ahead","Bin","percent","3.3","3.4",6e-04
"ca","1 wk ahead","Bin","percent","3.4","3.5",1e-04
"ca","1 wk ahead","Bin","percent","3.5","3.6",3e-04
"ca","1 wk ahead","Bin","percent","3.6","3.7",1e-04
"ca","1 wk ahead","Bin","percent","3.7","3.8",0
"ca","1 wk ahead","Bin","percent","3.8","3.9",0
"ca","1 wk ahead","Bin","percent","3.9","4.0",0
"ca","1 wk ahead","Bin","percent","4.0","4.1",0
"ca","1 wk ahead","Bin","percent","4.1","4.2",0
"ca","1 wk ahead","Bin","percent","4.2","4.3",0
"ca","1 wk ahead","Bin","percent","4.3","4.4",0
"ca","1 wk ahead","Bin","percent","4.4","4.5",0
"ca","1 wk ahead","Bin","percent","4.5","4.6",0
"ca","1 wk ahead","Bin","percent","4.6","4.7",0
"ca","1 wk ahead","Bin","percent","4.7","4.8",0
"ca","1 wk ahead","Bin","percent","4.8","4.9",0
"ca","1 wk ahead","Bin","percent","4.9","5.0",0
"ca","1 wk ahead","Bin","percent","5.0","5.1",0
"ca","1 wk ahead","Bin","percent","5.1","5.2",0
"ca","1 wk ahead","Bin","percent","5.2","5.3",0
"ca","1 wk ahead","Bin","percent","5.3","5.4",0
"ca","1 wk ahead","Bin","percent","5.4","5.5",0
"ca","1 wk ahead","Bin","percent","5.5","5.6",0
"ca","1 wk ahead","Bin","percent","5.6","5.7",0
"ca","1 wk ahead","Bin","percent","5.7","5.8",0
"ca","1 wk ahead","Bin","percent","5.8","5.9",0
"ca","1 wk ahead","Bin","percent","5.9","6.0",0
"ca","1 wk ahead","Bin","percent","6.0","6.1",0
"ca","1 wk ahead","Bin","percent","6.1","6.2",0
"ca","1 wk ahead","Bin","percent","6.2","6.3",0
"ca","1 wk ahead","Bin","percent","6.3","6.4",0
"ca","1 wk ahead","Bin","percent","6.4","6.5",0
"ca","1 wk ahead","Bin","percent","6.5","6.6",0
"ca","1 wk ahead","Bin","percent","6.6","6.7",0
"ca","1 wk ahead","Bin","percent","6.7","6.8",0
"ca","1 wk ahead","Bin","percent","6.8","6.9",0
"ca","1 wk ahead","Bin","percent","6.9","7.0",0
"ca","1 wk ahead","Bin","percent","7.0","7.1",0
"ca","1 wk ahead","Bin","percent","7.1","7.2",0
"ca","1 wk ahead","Bin","percent","7.2","7.3",0
"ca","1 wk ahead","Bin","percent","7.3","7.4",0
"ca","1 wk ahead","Bin","percent","7.4","7.5",0
"ca","1 wk ahead","Bin","percent","7.5","7.6",0
"ca","1 wk ahead","Bin","percent","7.6","7.7",0
"ca","1 wk ahead","Bin","percent","7.7","7.8",0
"ca","1 wk ahead","Bin","percent","7.8","7.9",0
"ca","1 wk ahead","Bin","percent","7.9","8.0",0
"ca","1 wk ahead","Bin","percent","8.0","8.1",0
"ca","1 wk ahead","Bin","percent","8.1","8.2",0
"ca","1 wk ahead","Bin","percent","8.2","8.3",0
"ca","1 wk ahead","Bin","percent","8.3","8.4",0
"ca","1 wk ahead","Bin","percent","8.4","8.5",0
"ca","1 wk ahead","Bin","percent","8.5","8.6",0
"ca","1 wk ahead","Bin","percent","8.6","8.7",0
"ca","1 wk ahead","Bin","percent","8.7","8.8",0
"ca","1 wk ahead","Bin","percent","8.8","8.9",0
"ca","1 wk ahead","Bin","percent","8.9","9.0",0
"ca","1 wk ahead","Bin","percent","9.0","9.1",0
"ca","1 wk ahead","Bin","percent","9.1","9.2",0
"ca","1 wk ahead","Bin","percent","9.2","9.3",0
"ca","1 wk ahead","Bin","percent","9.3","9.4",0
"ca","1 wk ahead","Bin","percent","9.4","9.5",0
"ca","1 wk ahead","Bin","percent","9.5","9.6",0
"ca","1 wk ahead","Bin","percent","9.6","9.7",0
"ca","1 wk ahead","Bin","percent","9.7","9.8",0
"ca","1 wk ahead","Bin","percent","9.8","9.9",0
"ca","1 wk ahead","Bin","percent","9.9","10.0",0
"ca","1 wk ahead","Bin","percent","10.0","10.1",0
"ca","1 wk ahead","Bin","percent","10.1","10.2",0
"ca","1 wk ahead","Bin","percent","10.2","10.3",0
"ca","1 wk ahead","Bin","percent","10.3","10.4",0
"ca","1 wk ahead","Bin","percent","10.4","10.5",0
"ca","1 wk ahead","Bin","percent","10.5","10.6",0
"ca","1 wk ahead","Bin","percent","10.6","10.7",0
"ca","1 wk ahead","Bin","percent","10.7","10.8",0
"ca","1 wk ahead","Bin","percent","10.8","10.9",0
"ca","1 wk ahead","Bin","percent","10.9","11.0",0
"ca","1 wk ahead","Bin","percent","11.0","11.1",0
"ca","1 wk ahead","Bin","percent","11.1","11.2",0
"ca","1 wk ahead","Bin","percent","11.2","11.3",0
"ca","1 wk ahead","Bin","percent","11.3","11.4",0
"ca","1 wk ahead","Bin","percent","11.4","11.5",0
"ca","1 wk ahead","Bin","percent","11.5","11.6",0
"ca","1 wk ahead","Bin","percent","11.6","11.7",0
"ca","1 wk ahead","Bin","percent","11.7","11.8",0
"ca","1 wk ahead","Bin","percent","11.8","11.9",0
"ca","1 wk ahead","Bin","percent","11.9","12.0",0
"ca","1 wk ahead","Bin","percent","12.0","12.1",0
"ca","1 wk ahead","Bin","percent","12.1","12.2",0
"ca","1 wk ahead","Bin","percent","12.2","12.3",0
"ca","1 wk ahead","Bin","percent","12.3","12.4",0
"ca","1 wk ahead","Bin","percent","12.4","12.5",0
"ca","1 wk ahead","Bin","percent","12.5","12.6",0
"ca","1 wk ahead","Bin","percent","12.6","12.7",0
"ca","1 wk ahead","Bin","percent","12.7","12.8",0
"ca","1 wk ahead","Bin","percent","12.8","12.9",0
"ca","1 wk ahead","Bin","percent","12.9","13.0",0
"ca","1 wk ahead","Bin","percent","13.0","100.0",0
"ca","2 wk ahead","Point","percent",NA,NA,2.1
"ca","2 wk ahead","Bin","percent","0.0","0.1",0
"ca","2 wk ahead","Bin","percent","0.1","0.2",0
"ca","2 wk ahead","Bin","percent","0.2","0.3",0
"ca","2 wk ahead","Bin","percent","0.3","0.4",0
"ca","2 wk ahead","Bin","percent","0.4","0.5",0
"ca","2 wk ahead","Bin","percent","0.5","0.6",0
"ca","2 wk ahead","Bin","percent","0.6","0.7",0
"ca","2 wk ahead","Bin","percent","0.7","0.8",0
"ca","2 wk ahead","Bin","percent","0.8","0.9",0
"ca","2 wk ahead","Bin","percent","0.9","1.0",0
"ca","2 wk ahead","Bin","percent","1.0","1.1",1e-04
"ca","2 wk ahead","Bin","percent","1.1","1.2",1e-04
"ca","2 wk ahead","Bin","percent","1.2","1.3",0.0019
"ca","2 wk ahead","Bin","percent","1.3","1.4",0.0046
"ca","2 wk ahead","Bin","percent","1.4","1.5",0.0158
"ca","2 wk ahead","Bin","percent","1.5","1.6",0.0324
"ca","2 wk ahead","Bin","percent","1.6","1.7",0.054
"ca","2 wk ahead","Bin","percent","1.7","1.8",0.0699
"ca","2 wk ahead","Bin","percent","1.8","1.9",0.0845
"ca","2 wk ahead","Bin","percent","1.9","2.0",0.0964
"ca","2 wk ahead","Bin","percent","2.0","2.1",0.0962
"ca","2 wk ahead","Bin","percent","2.1","2.2",0.0947
"ca","2 wk ahead","Bin","percent","2.2","2.3",0.0886
"ca","2 wk ahead","Bin","percent","2.3","2.4",0.0723
"ca","2 wk ahead","Bin","percent","2.4","2.5",0.0628
"ca","2 wk ahead","Bin","percent","2.5","2.6",0.0484
"ca","2 wk ahead","Bin","percent","2.6","2.7",0.0374
"ca","2 wk ahead","Bin","percent","2.7","2.8",0.034
"ca","2 wk ahead","Bin","percent","2.8","2.9",0.0237
"ca","2 wk ahead","Bin","percent","2.9","3.0",0.0207
"ca","2 wk ahead","Bin","percent","3.0","3.1",0.0133
"ca","2 wk ahead","Bin","percent","3.1","3.2",0.0122
"ca","2 wk ahead","Bin","percent","3.2","3.3",0.0092
"ca","2 wk ahead","Bin","percent","3.3","3.4",0.0066
"ca","2 wk ahead","Bin","percent","3.4","3.5",0.0039
"ca","2 wk ahead","Bin","percent","3.5","3.6",0.0035
"ca","2 wk ahead","Bin","percent","3.6","3.7",0.0026
"ca","2 wk ahead","Bin","percent","3.7","3.8",0.002
"ca","2 wk ahead","Bin","percent","3.8","3.9",0.0014
"ca","2 wk ahead","Bin","percent","3.9","4.0",0.0016
"ca","2 wk ahead","Bin","percent","4.0","4.1",7e-04
"ca","2 wk ahead","Bin","percent","4.1","4.2",9e-04
"ca","2 wk ahead","Bin","percent","4.2","4.3",8e-04
"ca","2 wk ahead","Bin","percent","4.3","4.4",5e-04
"ca","2 wk ahead","Bin","percent","4.4","4.5",6e-04
"ca","2 wk ahead","Bin","percent","4.5","4.6",3e-04
"ca","2 wk ahead","Bin","percent","4.6","4.7",3e-04
"ca","2 wk ahead","Bin","percent","4.7","4.8",4e-04
"ca","2 wk ahead","Bin","percent","4.8","4.9",1e-04
"ca","2 wk ahead","Bin","percent","4.9","5.0",3e-04
"ca","2 wk ahead","Bin","percent","5.0","5.1",1e-04
"ca","2 wk ahead","Bin","percent","5.1","5.2",0
"ca","2 wk ahead","Bin","percent","5.2","5.3",0
"ca","2 wk ahead","Bin","percent","5.3","5.4",0
"ca","2 wk ahead","Bin","percent","5.4","5.5",1e-04
"ca","2 wk ahead","Bin","percent","5.5","5.6",0
"ca","2 wk ahead","Bin","percent","5.6","5.7",0
"ca","2 wk ahead","Bin","percent","5.7","5.8",0
"ca","2 wk ahead","Bin","percent","5.8","5.9",0
"ca","2 wk ahead","Bin","percent","5.9","6.0",0
"ca","2 wk ahead","Bin","percent","6.0","6.1",0
"ca","2 wk ahead","Bin","percent","6.1","6.2",0
"ca","2 wk ahead","Bin","percent","6.2","6.3",0
"ca","2 wk ahead","Bin","percent","6.3","6.4",0
"ca","2 wk ahead","Bin","percent","6.4","6.5",0
"ca","2 wk ahead","Bin","percent","6.5","6.6",1e-04
"ca","2 wk ahead","Bin","percent","6.6","6.7",0
"ca","2 wk ahead","Bin","percent","6.7","6.8",0
"ca","2 wk ahead","Bin","percent","6.8","6.9",0
"ca","2 wk ahead","Bin","percent","6.9","7.0",0
"ca","2 wk ahead","Bin","percent","7.0","7.1",0
"ca","2 wk ahead","Bin","percent","7.1","7.2",0
"ca","2 wk ahead","Bin","percent","7.2","7.3",0
"ca","2 wk ahead","Bin","percent","7.3","7.4",0
"ca","2 wk ahead","Bin","percent","7.4","7.5",0
"ca","2 wk ahead","Bin","percent","7.5","7.6",0
"ca","2 wk ahead","Bin","percent","7.6","7.7",0
"ca","2 wk ahead","Bin","percent","7.7","7.8",0
"ca","2 wk ahead","Bin","percent","7.8","7.9",0
"ca","2 wk ahead","Bin","percent","7.9","8.0",0
"ca","2 wk ahead","Bin","percent","8.0","8.1",0
"ca","2 wk ahead","Bin","percent","8.1","8.2",0
"ca","2 wk ahead","Bin","percent","8.2","8.3",0
"ca","2 wk ahead","Bin","percent","8.3","8.4",0
"ca","2 wk ahead","Bin","percent","8.4","8.5",0
"ca","2 wk ahead","Bin","percent","8.5","8.6",0
"ca","2 wk ahead","Bin","percent","8.6","8.7",0
"ca","2 wk ahead","Bin","percent","8.7","8.8",0
"ca","2 wk ahead","Bin","percent","8.8","8.9",0
"ca","2 wk ahead","Bin","percent","8.9","9.0",0
"ca","2 wk ahead","Bin","percent","9.0","9.1",0
"ca","2 wk ahead","Bin","percent","9.1","9.2",0
"ca","2 wk ahead","Bin","percent","9.2","9.3",0
"ca","2 wk ahead","Bin","percent","9.3","9.4",0
"ca","2 wk ahead","Bin","percent","9.4","9.5",0
"ca","2 wk ahead","Bin","percent","9.5","9.6",0
"ca","2 wk ahead","Bin","percent","9.6","9.7",0
"ca","2 wk ahead","Bin","percent","9.7","9.8",0
"ca","2 wk ahead","Bin","percent","9.8","9.9",0
"ca","2 wk ahead","Bin","percent","9.9","10.0",0
"ca","2 wk ahead","Bin","percent","10.0","10.1",0
"ca","2 wk ahead","Bin","percent","10.1","10.2",0
"ca","2 wk ahead","Bin","percent","10.2","10.3",0
"ca","2 wk ahead","Bin","percent","10.3","10.4",0
"ca","2 wk ahead","Bin","percent","10.4","10.5",0
"ca","2 wk ahead","Bin","percent","10.5","10.6",0
"ca","2 wk ahead","Bin","percent","10.6","10.7",0
"ca","2 wk ahead","Bin","percent","10.7","10.8",0
"ca","2 wk ahead","Bin","percent","10.8","10.9",0
"ca","2 wk ahead","Bin","percent","10.9","11.0",0
"ca","2 wk ahead","Bin","percent","11.0","11.1",0
"ca","2 wk ahead","Bin","percent","11.1","11.2",0
"ca","2 wk ahead","Bin","percent","11.2","11.3",0
"ca","2 wk ahead","Bin","percent","11.3","11.4",0
"ca","2 wk ahead","Bin","percent","11.4","11.5",0
"ca","2 wk ahead","Bin","percent","11.5","11.6",0
"ca","2 wk ahead","Bin","percent","11.6","11.7",0
"ca","2 wk ahead","Bin","percent","11.7","11.8",0
"ca","2 wk ahead","Bin","percent","11.8","11.9",0
"ca","2 wk ahead","Bin","percent","11.9","12.0",0
"ca","2 wk ahead","Bin","percent","12.0","12.1",0
"ca","2 wk ahead","Bin","percent","12.1","12.2",0
"ca","2 wk ahead","Bin","percent","12.2","12.3",0
"ca","2 wk ahead","Bin","percent","12.3","12.4",0
"ca","2 wk ahead","Bin","percent","12.4","12.5",0
"ca","2 wk ahead","Bin","percent","12.5","12.6",0
"ca","2 wk ahead","Bin","percent","12.6","12.7",0
"ca","2 wk ahead","Bin","percent","12.7","12.8",0
"ca","2 wk ahead","Bin","percent","12.8","12.9",0
"ca","2 wk ahead","Bin","percent","12.9","13.0",0
"ca","2 wk ahead","Bin","percent","13.0","100.0",0
"ca","3 wk ahead","Point","percent",NA,NA,2.1
"ca","3 wk ahead","Bin","percent","0.0","0.1",0
"ca","3 wk ahead","Bin","percent","0.1","0.2",0
"ca","3 wk ahead","Bin","percent","0.2","0.3",0
"ca","3 wk ahead","Bin","percent","0.3","0.4",0
"ca","3 wk ahead","Bin","percent","0.4","0.5",0
"ca","3 wk ahead","Bin","percent","0.5","0.6",0
"ca","3 wk ahead","Bin","percent","0.6","0.7",0
"ca","3 wk ahead","Bin","percent","0.7","0.8",0
"ca","3 wk ahead","Bin","percent","0.8","0.9",0
"ca","3 wk ahead","Bin","percent","0.9","1.0",1e-04
"ca","3 wk ahead","Bin","percent","1.0","1.1",7e-04
"ca","3 wk ahead","Bin","percent","1.1","1.2",0.0025
"ca","3 wk ahead","Bin","percent","1.2","1.3",0.0075
"ca","3 wk ahead","Bin","percent","1.3","1.4",0.0202
"ca","3 wk ahead","Bin","percent","1.4","1.5",0.034
"ca","3 wk ahead","Bin","percent","1.5","1.6",0.0486
"ca","3 wk ahead","Bin","percent","1.6","1.7",0.0643
"ca","3 wk ahead","Bin","percent","1.7","1.8",0.0722
"ca","3 wk ahead","Bin","percent","1.8","1.9",0.086
"ca","3 wk ahead","Bin","percent","1.9","2.0",0.0824
"ca","3 wk ahead","Bin","percent","2.0","2.1",0.0805
"ca","3 wk ahead","Bin","percent","2.1","2.2",0.0789
"ca","3 wk ahead","Bin","percent","2.2","2.3",0.069
"ca","3 wk ahead","Bin","percent","2.3","2.4",0.0569
"ca","3 wk ahead","Bin","percent","2.4","2.5",0.0463
"ca","3 wk ahead","Bin","percent","2.5","2.6",0.043
"ca","3 wk ahead","Bin","percent","2.6","2.7",0.036
"ca","3 wk ahead","Bin","percent","2.7","2.8",0.0287
"ca","3 wk ahead","Bin","percent","2.8","2.9",0.0248
"ca","3 wk ahead","Bin","percent","2.9","3.0",0.0246
"ca","3 wk ahead","Bin","percent","3.0","3.1",0.0154
"ca","3 wk ahead","Bin","percent","3.1","3.2",0.0132
"ca","3 wk ahead","Bin","percent","3.2","3.3",0.0094
"ca","3 wk ahead","Bin","percent","3.3","3.4",0.0081
"ca","3 wk ahead","Bin","percent","3.4","3.5",0.0077
"ca","3 wk ahead","Bin","percent","3.5","3.6",0.0055
"ca","3 wk ahead","Bin","percent","3.6","3.7",0.0062
"ca","3 wk ahead","Bin","percent","3.7","3.8",0.0043
"ca","3 wk ahead","Bin","percent","3.8","3.9",0.0031
"ca","3 wk ahead","Bin","percent","3.9","4.0",0.003
"ca","3 wk ahead","Bin","percent","4.0","4.1",0.0032
"ca","3 wk ahead","Bin","percent","4.1","4.2",0.0017
"ca","3 wk ahead","Bin","percent","4.2","4.3",0.0018
"ca","3 wk ahead","Bin","percent","4.3","4.4",0.0017
"ca","3 wk ahead","Bin","percent","4.4","4.5",0.0013
"ca","3 wk ahead","Bin","percent","4.5","4.6",0.0016
"ca","3 wk ahead","Bin","percent","4.6","4.7",6e-04
"ca","3 wk ahead","Bin","percent","4.7","4.8",6e-04
"ca","3 wk ahead","Bin","percent","4.8","4.9",6e-04
"ca","3 wk ahead","Bin","percent","4.9","5.0",9e-04
"ca","3 wk ahead","Bin","percent","5.0","5.1",5e-04
"ca","3 wk ahead","Bin","percent","5.1","5.2",5e-04
"ca","3 wk ahead","Bin","percent","5.2","5.3",1e-04
"ca","3 wk ahead","Bin","percent","5.3","5.4",1e-04
"ca","3 wk ahead","Bin","percent","5.4","5.5",3e-04
"ca","3 wk ahead","Bin","percent","5.5","5.6",1e-04
"ca","3 wk ahead","Bin","percent","5.6","5.7",1e-04
"ca","3 wk ahead","Bin","percent","5.7","5.8",0
"ca","3 wk ahead","Bin","percent","5.8","5.9",1e-04
"ca","3 wk ahead","Bin","percent","5.9","6.0",0
"ca","3 wk ahead","Bin","percent","6.0","6.1",2e-04
"ca","3 wk ahead","Bin","percent","6.1","6.2",0
"ca","3 wk ahead","Bin","percent","6.2","6.3",0
"ca","3 wk ahead","Bin","percent","6.3","6.4",1e-04
"ca","3 wk ahead","Bin","percent","6.4","6.5",0
"ca","3 wk ahead","Bin","percent","6.5","6.6",2e-04
"ca","3 wk ahead","Bin","percent","6.6","6.7",0
"ca","3 wk ahead","Bin","percent","6.7","6.8",0
"ca","3 wk ahead","Bin","percent","6.8","6.9",2e-04
"ca","3 wk ahead","Bin","percent","6.9","7.0",0
"ca","3 wk ahead","Bin","percent","7.0","7.1",0
"ca","3 wk ahead","Bin","percent","7.1","7.2",1e-04
"ca","3 wk ahead","Bin","percent","7.2","7.3",0
"ca","3 wk ahead","Bin","percent","7.3","7.4",0
"ca","3 wk ahead","Bin","percent","7.4","7.5",0
"ca","3 wk ahead","Bin","percent","7.5","7.6",0
"ca","3 wk ahead","Bin","percent","7.6","7.7",0
"ca","3 wk ahead","Bin","percent","7.7","7.8",0
"ca","3 wk ahead","Bin","percent","7.8","7.9",0
"ca","3 wk ahead","Bin","percent","7.9","8.0",0
"ca","3 wk ahead","Bin","percent","8.0","8.1",0
"ca","3 wk ahead","Bin","percent","8.1","8.2",0
"ca","3 wk ahead","Bin","percent","8.2","8.3",0
"ca","3 wk ahead","Bin","percent","8.3","8.4",2e-04
"ca","3 wk ahead","Bin","percent","8.4","8.5",0
"ca","3 wk ahead","Bin","percent","8.5","8.6",0
"ca","3 wk ahead","Bin","percent","8.6","8.7",0
"ca","3 wk ahead","Bin","percent","8.7","8.8",0
"ca","3 wk ahead","Bin","percent","8.8","8.9",0
"ca","3 wk ahead","Bin","percent","8.9","9.0",0
"ca","3 wk ahead","Bin","percent","9.0","9.1",0
"ca","3 wk ahead","Bin","percent","9.1","9.2",0
"ca","3 wk ahead","Bin","percent","9.2","9.3",0
"ca","3 wk ahead","Bin","percent","9.3","9.4",0
"ca","3 wk ahead","Bin","percent","9.4","9.5",0
"ca","3 wk ahead","Bin","percent","9.5","9.6",0
"ca","3 wk ahead","Bin","percent","9.6","9.7",0
"ca","3 wk ahead","Bin","percent","9.7","9.8",0
"ca","3 wk ahead","Bin","percent","9.8","9.9",0
"ca","3 wk ahead","Bin","percent","9.9","10.0",1e-04
"ca","3 wk ahead","Bin","percent","10.0","10.1",0
"ca","3 wk ahead","Bin","percent","10.1","10.2",0
"ca","3 wk ahead","Bin","percent","10.2","10.3",0
"ca","3 wk ahead","Bin","percent","10.3","10.4",0
"ca","3 wk ahead","Bin","percent","10.4","10.5",0
"ca","3 wk ahead","Bin","percent","10.5","10.6",0
"ca","3 wk ahead","Bin","percent","10.6","10.7",0
"ca","3 wk ahead","Bin","percent","10.7","10.8",0
"ca","3 wk ahead","Bin","percent","10.8","10.9",0
"ca","3 wk ahead","Bin","percent","10.9","11.0",0
"ca","3 wk ahead","Bin","percent","11.0","11.1",0
"ca","3 wk ahead","Bin","percent","11.1","11.2",0
"ca","3 wk ahead","Bin","percent","11.2","11.3",0
"ca","3 wk ahead","Bin","percent","11.3","11.4",0
"ca","3 wk ahead","Bin","percent","11.4","11.5",0
"ca","3 wk ahead","Bin","percent","11.5","11.6",0
"ca","3 wk ahead","Bin","percent","11.6","11.7",0
"ca","3 wk ahead","Bin","percent","11.7","11.8",0
"ca","3 wk ahead","Bin","percent","11.8","11.9",0
"ca","3 wk ahead","Bin","percent","11.9","12.0",0
"ca","3 wk ahead","Bin","percent","12.0","12.1",0
"ca","3 wk ahead","Bin","percent","12.1","12.2",0
"ca","3 wk ahead","Bin","percent","12.2","12.3",0
"ca","3 wk ahead","Bin","percent","12.3","12.4",0
"ca","3 wk ahead","Bin","percent","12.4","12.5",0
"ca","3 wk ahead","Bin","percent","12.5","12.6",0
"ca","3 wk ahead","Bin","percent","12.6","12.7",0
"ca","3 wk ahead","Bin","percent","12.7","12.8",0
"ca","3 wk ahead","Bin","percent","12.8","12.9",0
"ca","3 wk ahead","Bin","percent","12.9","13.0",0
"ca","3 wk ahead","Bin","percent","13.0","100.0",0
"ca","4 wk ahead","Point","percent",NA,NA,2
"ca","4 wk ahead","Bin","percent","0.0","0.1",0
"ca","4 wk ahead","Bin","percent","0.1","0.2",0
"ca","4 wk ahead","Bin","percent","0.2","0.3",0
"ca","4 wk ahead","Bin","percent","0.3","0.4",0
"ca","4 wk ahead","Bin","percent","0.4","0.5",0
"ca","4 wk ahead","Bin","percent","0.5","0.6",0
"ca","4 wk ahead","Bin","percent","0.6","0.7",0
"ca","4 wk ahead","Bin","percent","0.7","0.8",0
"ca","4 wk ahead","Bin","percent","0.8","0.9",1e-04
"ca","4 wk ahead","Bin","percent","0.9","1.0",6e-04
"ca","4 wk ahead","Bin","percent","1.0","1.1",0.003
"ca","4 wk ahead","Bin","percent","1.1","1.2",0.007
"ca","4 wk ahead","Bin","percent","1.2","1.3",0.0175
"ca","4 wk ahead","Bin","percent","1.3","1.4",0.0323
"ca","4 wk ahead","Bin","percent","1.4","1.5",0.0406
"ca","4 wk ahead","Bin","percent","1.5","1.6",0.0571
"ca","4 wk ahead","Bin","percent","1.6","1.7",0.069
"ca","4 wk ahead","Bin","percent","1.7","1.8",0.0744
"ca","4 wk ahead","Bin","percent","1.8","1.9",0.079
"ca","4 wk ahead","Bin","percent","1.9","2.0",0.0732
"ca","4 wk ahead","Bin","percent","2.0","2.1",0.0724
"ca","4 wk ahead","Bin","percent","2.1","2.2",0.0624
"ca","4 wk ahead","Bin","percent","2.2","2.3",0.0577
"ca","4 wk ahead","Bin","percent","2.3","2.4",0.0541
"ca","4 wk ahead","Bin","percent","2.4","2.5",0.0448
"ca","4 wk ahead","Bin","percent","2.5","2.6",0.036
"ca","4 wk ahead","Bin","percent","2.6","2.7",0.0315
"ca","4 wk ahead","Bin","percent","2.7","2.8",0.029
"ca","4 wk ahead","Bin","percent","2.8","2.9",0.0227
"ca","4 wk ahead","Bin","percent","2.9","3.0",0.0209
"ca","4 wk ahead","Bin","percent","3.0","3.1",0.0169
"ca","4 wk ahead","Bin","percent","3.1","3.2",0.0142
"ca","4 wk ahead","Bin","percent","3.2","3.3",0.0126
"ca","4 wk ahead","Bin","percent","3.3","3.4",0.0102
"ca","4 wk ahead","Bin","percent","3.4","3.5",0.0076
"ca","4 wk ahead","Bin","percent","3.5","3.6",0.0063
"ca","4 wk ahead","Bin","percent","3.6","3.7",0.0057
"ca","4 wk ahead","Bin","percent","3.7","3.8",0.0043
"ca","4 wk ahead","Bin","percent","3.8","3.9",0.0045
"ca","4 wk ahead","Bin","percent","3.9","4.0",0.004
"ca","4 wk ahead","Bin","percent","4.0","4.1",0.0038
"ca","4 wk ahead","Bin","percent","4.1","4.2",0.0028
"ca","4 wk ahead","Bin","percent","4.2","4.3",0.0025
"ca","4 wk ahead","Bin","percent","4.3","4.4",0.0014
"ca","4 wk ahead","Bin","percent","4.4","4.5",0.0024
"ca","4 wk ahead","Bin","percent","4.5","4.6",0.0026
"ca","4 wk ahead","Bin","percent","4.6","4.7",0.0021
"ca","4 wk ahead","Bin","percent","4.7","4.8",0.0011
"ca","4 wk ahead","Bin","percent","4.8","4.9",8e-04
"ca","4 wk ahead","Bin","percent","4.9","5.0",0.0015
"ca","4 wk ahead","Bin","percent","5.0","5.1",8e-04
