"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"ky","1 wk ahead","Point","percent",NA,NA,3.3
"ky","1 wk ahead","Bin","percent","0.0","0.1",0
"ky","1 wk ahead","Bin","percent","0.1","0.2",0
"ky","1 wk ahead","Bin","percent","0.2","0.3",0
"ky","1 wk ahead","Bin","percent","0.3","0.4",0
"ky","1 wk ahead","Bin","percent","0.4","0.5",0
"ky","1 wk ahead","Bin","percent","0.5","0.6",0
"ky","1 wk ahead","Bin","percent","0.6","0.7",0
"ky","1 wk ahead","Bin","percent","0.7","0.8",0
"ky","1 wk ahead","Bin","percent","0.8","0.9",0
"ky","1 wk ahead","Bin","percent","0.9","1.0",3e-04
"ky","1 wk ahead","Bin","percent","1.0","1.1",6e-04
"ky","1 wk ahead","Bin","percent","1.1","1.2",0.0016
"ky","1 wk ahead","Bin","percent","1.2","1.3",0.0025
"ky","1 wk ahead","Bin","percent","1.3","1.4",0.0035
"ky","1 wk ahead","Bin","percent","1.4","1.5",0.0054
"ky","1 wk ahead","Bin","percent","1.5","1.6",0.0079
"ky","1 wk ahead","Bin","percent","1.6","1.7",0.0093
"ky","1 wk ahead","Bin","percent","1.7","1.8",0.0144
"ky","1 wk ahead","Bin","percent","1.8","1.9",0.0157
"ky","1 wk ahead","Bin","percent","1.9","2.0",0.0192
"ky","1 wk ahead","Bin","percent","2.0","2.1",0.0217
"ky","1 wk ahead","Bin","percent","2.1","2.2",0.0256
"ky","1 wk ahead","Bin","percent","2.2","2.3",0.0269
"ky","1 wk ahead","Bin","percent","2.3","2.4",0.0286
"ky","1 wk ahead","Bin","percent","2.4","2.5",0.0328
"ky","1 wk ahead","Bin","percent","2.5","2.6",0.0341
"ky","1 wk ahead","Bin","percent","2.6","2.7",0.0353
"ky","1 wk ahead","Bin","percent","2.7","2.8",0.0336
"ky","1 wk ahead","Bin","percent","2.8","2.9",0.03
"ky","1 wk ahead","Bin","percent","2.9","3.0",0.032
"ky","1 wk ahead","Bin","percent","3.0","3.1",0.0297
"ky","1 wk ahead","Bin","percent","3.1","3.2",0.0321
"ky","1 wk ahead","Bin","percent","3.2","3.3",0.0347
"ky","1 wk ahead","Bin","percent","3.3","3.4",0.0315
"ky","1 wk ahead","Bin","percent","3.4","3.5",0.0257
"ky","1 wk ahead","Bin","percent","3.5","3.6",0.029
"ky","1 wk ahead","Bin","percent","3.6","3.7",0.0276
"ky","1 wk ahead","Bin","percent","3.7","3.8",0.0243
"ky","1 wk ahead","Bin","percent","3.8","3.9",0.025
"ky","1 wk ahead","Bin","percent","3.9","4.0",0.0253
"ky","1 wk ahead","Bin","percent","4.0","4.1",0.0215
"ky","1 wk ahead","Bin","percent","4.1","4.2",0.0236
"ky","1 wk ahead","Bin","percent","4.2","4.3",0.0173
"ky","1 wk ahead","Bin","percent","4.3","4.4",0.0169
"ky","1 wk ahead","Bin","percent","4.4","4.5",0.0148
"ky","1 wk ahead","Bin","percent","4.5","4.6",0.0146
"ky","1 wk ahead","Bin","percent","4.6","4.7",0.015
"ky","1 wk ahead","Bin","percent","4.7","4.8",0.0147
"ky","1 wk ahead","Bin","percent","4.8","4.9",0.0133
"ky","1 wk ahead","Bin","percent","4.9","5.0",0.0127
"ky","1 wk ahead","Bin","percent","5.0","5.1",0.0113
"ky","1 wk ahead","Bin","percent","5.1","5.2",0.0086
"ky","1 wk ahead","Bin","percent","5.2","5.3",0.0111
"ky","1 wk ahead","Bin","percent","5.3","5.4",0.0098
"ky","1 wk ahead","Bin","percent","5.4","5.5",0.0093
"ky","1 wk ahead","Bin","percent","5.5","5.6",0.0074
"ky","1 wk ahead","Bin","percent","5.6","5.7",0.007
"ky","1 wk ahead","Bin","percent","5.7","5.8",0.0062
"ky","1 wk ahead","Bin","percent","5.8","5.9",0.0054
"ky","1 wk ahead","Bin","percent","5.9","6.0",0.006
"ky","1 wk ahead","Bin","percent","6.0","6.1",0.0058
"ky","1 wk ahead","Bin","percent","6.1","6.2",0.0048
"ky","1 wk ahead","Bin","percent","6.2","6.3",0.0048
"ky","1 wk ahead","Bin","percent","6.3","6.4",0.005
"ky","1 wk ahead","Bin","percent","6.4","6.5",0.0047
"ky","1 wk ahead","Bin","percent","6.5","6.6",0.0041
"ky","1 wk ahead","Bin","percent","6.6","6.7",0.0034
"ky","1 wk ahead","Bin","percent","6.7","6.8",0.0033
"ky","1 wk ahead","Bin","percent","6.8","6.9",0.0035
"ky","1 wk ahead","Bin","percent","6.9","7.0",0.0036
"ky","1 wk ahead","Bin","percent","7.0","7.1",0.0029
"ky","1 wk ahead","Bin","percent","7.1","7.2",0.0018
"ky","1 wk ahead","Bin","percent","7.2","7.3",0.0019
"ky","1 wk ahead","Bin","percent","7.3","7.4",0.002
"ky","1 wk ahead","Bin","percent","7.4","7.5",0.0022
"ky","1 wk ahead","Bin","percent","7.5","7.6",0.0023
"ky","1 wk ahead","Bin","percent","7.6","7.7",0.0023
"ky","1 wk ahead","Bin","percent","7.7","7.8",0.0017
"ky","1 wk ahead","Bin","percent","7.8","7.9",0.0013
"ky","1 wk ahead","Bin","percent","7.9","8.0",0.0016
"ky","1 wk ahead","Bin","percent","8.0","8.1",0.0018
"ky","1 wk ahead","Bin","percent","8.1","8.2",9e-04
"ky","1 wk ahead","Bin","percent","8.2","8.3",0.0011
"ky","1 wk ahead","Bin","percent","8.3","8.4",8e-04
